Range-slice;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Ground Truth 0;Ground Truth 1;Ground Truth 2;Ground Truth 3;Ground Truth 4;Ground Truth 5;Ground Truth Rep 0;Ground Truth Rep 1;Ground Truth Rep 2;Ground Truth Rep 3;Ground Truth Rep 4;Ground Truth Rep 5;fMeasure 0;fMeasure 1;fMeasure 2;fMeasure 3;fMeasure 4;fMeasure 5
0.0-1.0;30.76886487007141;4887;5000;0.8057390873015947;0.6052083333333365;0.6292676709864242;0.5803151217515858;0.0040924902803355845;0.0024554941682013503;0.008184980560671169;0.010435850214855739;0.3945160630243503;0.5695067264573991;0.005979073243647235;0.0014947683109118087;0.007473841554559043;0.01046337817638266;0.40508221225710017;0.5748601243179788;0.004859086491739553;0.0018583042973286874;0.00781326301396621;0.010449596066034421;0.3997293253905866
0.1-0.9;30.85199999809265;4887;5000;0.8057390873015947;0.6052083333333365;0.6292676709864242;0.5809289952936362;0.0040924902803355845;0.0024554941682013503;0.008184980560671169;0.010435850214855739;0.3939021894823;0.5695067264573991;0.005979073243647235;0.0014947683109118087;0.007473841554559043;0.01046337817638266;0.40508221225710017;0.5751611570445688;0.004859086491739553;0.0018583042973286874;0.00781326301396621;0.010449596066034421;0.39941398100146935
0.2-0.8;30.546417951583862;4885;5000;0.8233172123015954;0.6197916666666704;0.6457028561716099;0.5873080859774821;0.0038894575230296827;0.0026612077789150462;0.008597748208802457;0.01023541453428864;0.38730808597748206;0.593423019431988;0.005979073243647235;0.0014947683109118087;0.007473841554559043;0.007473841554559043;0.3841554559043348;0.5903497182734315;0.004713032154041735;0.0019142983360329851;0.007996496772842374;0.008639308855291577;0.3857253292389753
0.3-0.7;29.091129064559937;4880;5000;0.860577876984136;0.6583333333333389;0.6843987436174989;0.5891393442622951;0.002663934426229508;0.003278688524590164;0.009016393442622951;0.01168032786885246;0.38422131147540983;0.6382660687593423;0.0029895366218236174;0.0029895366218236174;0.007473841554559043;0.01195814648729447;0.336322869955157;0.6127195614822061;0.00281735926748659;0.0031274433150899144;0.008172969760011887;0.011817604602646003;0.35868005738880915
0.4-0.6;27.127430200576782;4823;5000;0.882769097222232;0.6843750000000066;0.7134693623262768;0.5869790586771719;0.0037321169396641093;0.0037321169396641093;0.01078167115902965;0.013477088948787063;0.3812979473356832;0.6696562032884903;0.004484304932735426;0.0029895366218236174;0.005979073243647235;0.01195814648729447;0.30493273542600896;0.6255978639796402;0.004073780694805929;0.0033198081888601992;0.007692307692307693;0.012672263583082528;0.3388662996689975
0.5-0.5;29.232694149017334;4553;5000;0.9308039529914642;0.7562500000000092;0.7724049035472685;0.5576542938721722;0.005490885130683066;0.0037338018888644848;0.012738853503184714;0.01822973863386778;0.40215242697122777;0.7458893871449925;0.005979073243647235;0.004484304932735426;0.01046337817638266;0.014947683109118086;0.21823617339312407;0.6381810223198972;0.0057245899762429515;0.004074784276126558;0.011489536315141569;0.016426373234907032;0.282933009186226
