Similarity Method;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Precision 0;Precision 1;Precision 2;Precision 3;Precision 4;Precision 5;Recall 0;Recall 1;Recall 2;Recall 3;Recall 4;Recall 5;F-Measure 0;F-Measure 1;F-Measure 2;F-Measure 3;F-Measure 4;F-Measure 5
Etzioni;20.75291109085083;1184;5000;0.9528831845238216;0.8031250000000101;0.7882392753091666;0.43074324324324326;0.015202702702702704;0.015202702702702704;0.04054054054054054;0.07010135135135136;0.4282094594594595;0.7623318385650224;0.007473841554559043;0.01195814648729447;0.007473841554559043;0.016442451420029897;0.19431988041853512;0.5504587155963303;0.010021155773299187;0.013386631960583808;0.012620950778291964;0.026637102303394555;0.2673275157522871
Jaccard;24.3648738861084;1185;5000;0.9528831845238216;0.7927083333333433;0.7878920530869444;0.43037974683544306;0.016033755274261603;0.015189873417721518;0.04135021097046414;0.070042194092827;0.4270042194092827;0.7623318385650224;0.008968609865470852;0.01195814648729447;0.007473841554559043;0.016442451420029897;0.19282511210762332;0.5501618122977346;0.011502951415165734;0.013381655979927517;0.012659535989252312;0.026632828680610253;0.26567679937482064
Cosine;22.950032949447632;2603;5000;0.9527529761904884;0.7937500000000101;0.7977588298287211;0.52362658470995;0.009220130618517095;0.0072992700729927005;0.01920860545524395;0.031886285055704955;0.40875912408759124;0.772795216741405;0.008968609865470852;0.01195814648729447;0.01046337817638266;0.007473841554559043;0.18834080717488788;0.6242661448140899;0.009092631180147755;0.009065155807365438;0.013547250875733004;0.012109363601879138;0.2578664620107444
Amendment;23.000942945480347;4336;5000;0.954513888888901;0.7864583333333434;0.8027218298271022;0.5394372693726938;0.00922509225092251;0.005304428044280443;0.013376383763837638;0.020756457564575646;0.41190036900369004;0.7862481315396114;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.17937219730941703;0.6398675656158441;0.008257638315441783;0.006666183609883342;0.011741909361714434;0.01099035291244352;0.24991341885335078
