n-slice;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Precision 0;Precision 1;Precision 2;Precision 3;Precision 4;Precision 5;Recall 0;Recall 1;Recall 2;Recall 3;Recall 4;Recall 5;F-Measure 0;F-Measure 1;F-Measure 2;F-Measure 3;F-Measure 4;F-Measure 5
11;19.94188404083252;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
12;19.397555112838745;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
13;19.315696001052856;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
14;21.126588821411133;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
15;19.54908585548401;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
16;20.061057090759277;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
17;20.908316135406494;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
18;22.674898862838745;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
19;18.510279893875122;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
20;18.382914781570435;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
