Cosine Threshold;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Precision 0;Precision 1;Precision 2;Precision 3;Precision 4;Precision 5;Recall 0;Recall 1;Recall 2;Recall 3;Recall 4;Recall 5;F-Measure 0;F-Measure 1;F-Measure 2;F-Measure 3;F-Measure 4;F-Measure 5
0.0;22.581623077392578;1896;5000;0.9527529761904884;0.7937500000000101;0.7905562234073646;0.4868143459915612;0.011075949367088608;0.00949367088607595;0.026371308016877638;0.04430379746835443;0.4219409282700422;0.7608370702541106;0.008968609865470852;0.01195814648729447;0.007473841554559043;0.014947683109118086;0.19581464872944693;0.593733788042218;0.00991150442477876;0.010584343991179714;0.011646866992778941;0.02235350471020278;0.26749160260140686
0.05;24.27971601486206;1998;5000;0.9527529761904884;0.7937500000000101;0.7905562234073646;0.4904904904904905;0.010510510510510511;0.009009009009009009;0.025025025025025027;0.042042042042042045;0.42292292292292294;0.7608370702541106;0.008968609865470852;0.01195814648729447;0.007473841554559043;0.014947683109118086;0.19581464872944693;0.5964598870502368;0.00967853439336329;0.01027617212588311;0.01151012891344383;0.022054190296156267;0.2676886207851345
0.1;25.24424409866333;2059;5000;0.9527529761904884;0.7937500000000101;0.791389556740698;0.4973288003885381;0.010199125789218067;0.008742107819329771;0.02428363283147159;0.04079650315687227;0.4186498300145702;0.7623318385650224;0.008968609865470852;0.01195814648729447;0.007473841554559043;0.013452914798206279;0.19581464872944693;0.6019551092530542;0.009544369957959323;0.01010030160622852;0.011429877700308608;0.020233650487775503;0.2668267157525871
0.15000000000000002;27.001441955566406;2121;5000;0.9527529761904884;0.7937500000000101;0.7920840011851424;0.5016501650165016;0.010372465818010372;0.008486562942008486;0.023573785950023574;0.039603960396039604;0.4163130598774163;0.7638266068759342;0.01046337817638266;0.01195814648729447;0.007473841554559043;0.013452914798206279;0.19282511210762332;0.6055800499764151;0.010417723659732793;0.009927611168562564;0.011349449551696743;0.0200836820083682;0.26357111123451993
0.2;28.028466939926147;2184;5000;0.9527529761904884;0.7937500000000101;0.7925006678518091;0.5068681318681318;0.010073260073260074;0.008241758241758242;0.022893772893772892;0.038003663003663;0.4139194139194139;0.7653213751868461;0.01046337817638266;0.01195814648729447;0.007473841554559043;0.01195814648729447;0.19282511210762332;0.6098415583032196;0.010264613743917884;0.009758080910754217;0.011268875366238449;0.0181920300278086;0.2630895013265472
0.25;22.696979999542236;2251;5000;0.9527529761904884;0.7937500000000101;0.79343861878976;0.5104398045313194;0.010217681030653044;0.007996446023989337;0.021768103065304308;0.037316748111950244;0.41226121723678366;0.7653213751868461;0.01046337817638266;0.01195814648729447;0.007473841554559043;0.01195814648729447;0.19282511210762332;0.6124194706101886;0.010339070125866942;0.009584026622296174;0.011127259514942318;0.018112231146568916;0.26275363225421994
0.30000000000000004;25.10891890525818;2320;5000;0.9527529761904884;0.7937500000000101;0.7945073417334829;0.5155172413793103;0.009913793103448277;0.007758620689655172;0.021551724137931036;0.03620689655172414;0.40905172413793106;0.7683109118086696;0.008968609865470852;0.01195814648729447;0.008968609865470852;0.01046337817638266;0.19133034379671152;0.6170257612651586;0.009417545296345583;0.009411149598065485;0.01266624445851805;0.01623502126014689;0.2607140059301962
0.35000000000000003;26.914061069488525;2386;5000;0.9527529761904884;0.7937500000000101;0.7947851195112607;0.519279128248114;0.010058675607711651;0.0075440067057837385;0.020955574182732608;0.03436714165968147;0.4077954735959765;0.7683109118086696;0.008968609865470852;0.01195814648729447;0.008968609865470852;0.01046337817638266;0.19133034379671152;0.6197124986924017;0.00948241801659423;0.009251525859299711;0.01256123602562492;0.016042481833426495;0.2604583074099828
0.4;26.18652892112732;2451;5000;0.9527529761904884;0.7937500000000101;0.7950736446435358;0.5193798449612403;0.009791921664626682;0.0073439412484700125;0.019991840065279477;0.03345573235414117;0.41003671970624234;0.7683109118086696;0.008968609865470852;0.01195814648729447;0.01046337817638266;0.008968609865470852;0.19133034379671152;0.6197842147414266;0.009362200117027502;0.00909952606635071;0.013737033922063357;0.014145247541831983;0.2609137457368775
0.45;24.98345708847046;2518;5000;0.9527529761904884;0.7937500000000101;0.7956986446435359;0.5202541699761716;0.009531374106433678;0.007148530579825258;0.019459888800635424;0.03216838760921366;0.4114376489277204;0.7698056801195815;0.008968609865470852;0.01195814648729447;0.01046337817638266;0.007473841554559043;0.19133034379671152;0.6208930773619982;0.009241432422025414;0.008947989809233827;0.013609220941535898;0.012129561688554783;0.2611967051018921
