Tree type;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Precision 0;Precision 1;Precision 2;Precision 3;Precision 4;Precision 5;Recall 0;Recall 1;Recall 2;Recall 3;Recall 4;Recall 5;F-Measure 0;F-Measure 1;F-Measure 2;F-Measure 3;F-Measure 4;F-Measure 5
Suffix;20.207494020462036;4399;5000;0.9554005456349328;0.8104166666666764;0.8132339345106203;0.5360309161172994;0.008183678108661059;0.007047056149124801;0.01750397817685838;0.025233007501704933;0.40600136394635145;0.7892376681614349;0.01046337817638266;0.004484304932735426;0.01046337817638266;0.007473841554559043;0.17787742899850523;0.6384453616684794;0.009184175519798823;0.00548090523338048;0.01309746555536656;0.011531988281006503;0.24737489924722766
Midslice;19.390029907226562;4336;5000;0.954513888888901;0.7864583333333434;0.8027218298271022;0.5394372693726938;0.00922509225092251;0.005304428044280443;0.013376383763837638;0.020756457564575646;0.41190036900369004;0.7862481315396114;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.17937219730941703;0.6398675656158441;0.008257638315441783;0.006666183609883342;0.011741909361714434;0.01099035291244352;0.24991341885335078
Rangeslice 0.1-1.0;23.217711925506592;4880;5000;0.8543278769841355;0.6531250000000047;0.6788431880619424;0.5901639344262295;0.002663934426229508;0.003278688524590164;0.00860655737704918;0.011270491803278689;0.38401639344262295;0.6322869955156951;0.0029895366218236174;0.0029895366218236174;0.007473841554559043;0.01195814648729447;0.3423019431988042;0.6104997293884179;0.00281735926748659;0.0031274433150899144;0.00800030477351518;0.011604140568339158;0.3619612807889252
5-slice;18.7174870967865;2515;5000;0.8331931555801972;0.7458333333333408;0.7107381692959643;0.6302186878727635;0.014711729622266401;0.008349900596421472;0.011133200795228629;0.016302186878727636;0.3192842942345924;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6244745012669071;0.017277321014625688;0.010714559044873595;0.010787902138316317;0.02071422873401229;0.3127238117672984
