Min intersect limit;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Precision 0;Precision 1;Precision 2;Precision 3;Precision 4;Precision 5;Recall 0;Recall 1;Recall 2;Recall 3;Recall 4;Recall 5;F-Measure 0;F-Measure 1;F-Measure 2;F-Measure 3;F-Measure 4;F-Measure 5
0;20.793839931488037;4236;5000;0.9522569444444564;0.7739583333333429;0.7958203748006472;0.5424929178470255;0.008026440037771483;0.004957507082152974;0.013220018885741265;0.018649669499527857;0.4126534466477809;0.7757847533632287;0.005979073243647235;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.19133034379671152;0.638496340587915;0.006853111615016377;0.006385404789053592;0.011681268251981644;0.01067120530588537;0.2614412077447097
1;20.114147901535034;4236;5000;0.9522569444444564;0.7739583333333429;0.7958203748006472;0.5424929178470255;0.008026440037771483;0.004957507082152974;0.013220018885741265;0.018649669499527857;0.4126534466477809;0.7757847533632287;0.005979073243647235;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.19133034379671152;0.638496340587915;0.006853111615016377;0.006385404789053592;0.011681268251981644;0.01067120530588537;0.2614412077447097
2;20.737837076187134;4236;5000;0.9522569444444564;0.7739583333333429;0.7958203748006472;0.5424929178470255;0.008026440037771483;0.004957507082152974;0.013220018885741265;0.018649669499527857;0.4126534466477809;0.7757847533632287;0.005979073243647235;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.19133034379671152;0.638496340587915;0.006853111615016377;0.006385404789053592;0.011681268251981644;0.01067120530588537;0.2614412077447097
3;22.760508060455322;4236;5000;0.9522569444444564;0.7739583333333429;0.7958203748006472;0.5424929178470255;0.008026440037771483;0.004957507082152974;0.013220018885741265;0.018649669499527857;0.4126534466477809;0.7757847533632287;0.005979073243647235;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.19133034379671152;0.638496340587915;0.006853111615016377;0.006385404789053592;0.011681268251981644;0.01067120530588537;0.2614412077447097
4;20.88598895072937;4236;5000;0.9522569444444564;0.7739583333333429;0.7958203748006472;0.5424929178470255;0.008026440037771483;0.004957507082152974;0.013220018885741265;0.018649669499527857;0.4126534466477809;0.7757847533632287;0.005979073243647235;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.19133034379671152;0.638496340587915;0.006853111615016377;0.006385404789053592;0.011681268251981644;0.01067120530588537;0.2614412077447097
5;20.49980592727661;4236;5000;0.9522569444444564;0.7739583333333429;0.7958203748006472;0.5424929178470255;0.008026440037771483;0.004957507082152974;0.013220018885741265;0.018649669499527857;0.4126534466477809;0.7757847533632287;0.005979073243647235;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.19133034379671152;0.638496340587915;0.006853111615016377;0.006385404789053592;0.011681268251981644;0.01067120530588537;0.2614412077447097
6;20.235496044158936;4236;5000;0.9522569444444564;0.7739583333333429;0.7958203748006472;0.5424929178470255;0.008026440037771483;0.004957507082152974;0.013220018885741265;0.018649669499527857;0.4126534466477809;0.7757847533632287;0.005979073243647235;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.19133034379671152;0.638496340587915;0.006853111615016377;0.006385404789053592;0.011681268251981644;0.01067120530588537;0.2614412077447097
7;20.450405836105347;4236;5000;0.9522569444444564;0.7739583333333429;0.7958203748006472;0.5424929178470255;0.008026440037771483;0.004957507082152974;0.013220018885741265;0.018649669499527857;0.4126534466477809;0.7757847533632287;0.005979073243647235;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.19133034379671152;0.638496340587915;0.006853111615016377;0.006385404789053592;0.011681268251981644;0.01067120530588537;0.2614412077447097
8;20.40894603729248;4236;5000;0.9522569444444564;0.7739583333333429;0.7958203748006472;0.5424929178470255;0.008026440037771483;0.004957507082152974;0.013220018885741265;0.018649669499527857;0.4126534466477809;0.7757847533632287;0.005979073243647235;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.19133034379671152;0.638496340587915;0.006853111615016377;0.006385404789053592;0.011681268251981644;0.01067120530588537;0.2614412077447097
9;21.908761978149414;4236;5000;0.9522569444444564;0.7739583333333429;0.7958203748006472;0.5424929178470255;0.008026440037771483;0.004957507082152974;0.013220018885741265;0.018649669499527857;0.4126534466477809;0.7757847533632287;0.005979073243647235;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.19133034379671152;0.638496340587915;0.006853111615016377;0.006385404789053592;0.011681268251981644;0.01067120530588537;0.2614412077447097
10;21.939784049987793;4236;5000;0.9522569444444564;0.7739583333333429;0.7958203748006472;0.5424929178470255;0.008026440037771483;0.004957507082152974;0.013220018885741265;0.018649669499527857;0.4126534466477809;0.7757847533632287;0.005979073243647235;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.19133034379671152;0.638496340587915;0.006853111615016377;0.006385404789053592;0.011681268251981644;0.01067120530588537;0.2614412077447097
11;20.69604206085205;4236;5000;0.9522569444444564;0.7739583333333429;0.7958203748006472;0.5424929178470255;0.008026440037771483;0.004957507082152974;0.013220018885741265;0.018649669499527857;0.4126534466477809;0.7757847533632287;0.005979073243647235;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.19133034379671152;0.638496340587915;0.006853111615016377;0.006385404789053592;0.011681268251981644;0.01067120530588537;0.2614412077447097
12;20.524018049240112;4236;5000;0.9522569444444564;0.7739583333333429;0.7958203748006472;0.5424929178470255;0.008026440037771483;0.004957507082152974;0.013220018885741265;0.018649669499527857;0.4126534466477809;0.7757847533632287;0.005979073243647235;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.19133034379671152;0.638496340587915;0.006853111615016377;0.006385404789053592;0.011681268251981644;0.01067120530588537;0.2614412077447097
13;20.644892930984497;4236;5000;0.9522569444444564;0.7739583333333429;0.7958203748006472;0.5424929178470255;0.008026440037771483;0.004957507082152974;0.013220018885741265;0.018649669499527857;0.4126534466477809;0.7757847533632287;0.005979073243647235;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.19133034379671152;0.638496340587915;0.006853111615016377;0.006385404789053592;0.011681268251981644;0.01067120530588537;0.2614412077447097
14;22.46337890625;4236;5000;0.9522569444444564;0.7739583333333429;0.7958203748006472;0.5424929178470255;0.008026440037771483;0.004957507082152974;0.013220018885741265;0.018649669499527857;0.4126534466477809;0.7757847533632287;0.005979073243647235;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.19133034379671152;0.638496340587915;0.006853111615016377;0.006385404789053592;0.011681268251981644;0.01067120530588537;0.2614412077447097
15;20.688265085220337;4236;5000;0.9522569444444564;0.7739583333333429;0.7958203748006472;0.5424929178470255;0.008026440037771483;0.004957507082152974;0.013220018885741265;0.018649669499527857;0.4126534466477809;0.7757847533632287;0.005979073243647235;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.19133034379671152;0.638496340587915;0.006853111615016377;0.006385404789053592;0.011681268251981644;0.01067120530588537;0.2614412077447097
16;20.354947805404663;4236;5000;0.9522569444444564;0.7739583333333429;0.7958203748006472;0.5424929178470255;0.008026440037771483;0.004957507082152974;0.013220018885741265;0.018649669499527857;0.4126534466477809;0.7757847533632287;0.005979073243647235;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.19133034379671152;0.638496340587915;0.006853111615016377;0.006385404789053592;0.011681268251981644;0.01067120530588537;0.2614412077447097
17;20.37886095046997;4236;5000;0.9522569444444564;0.7739583333333429;0.7958203748006472;0.5424929178470255;0.008026440037771483;0.004957507082152974;0.013220018885741265;0.018649669499527857;0.4126534466477809;0.7757847533632287;0.005979073243647235;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.19133034379671152;0.638496340587915;0.006853111615016377;0.006385404789053592;0.011681268251981644;0.01067120530588537;0.2614412077447097
18;23.570530891418457;4236;5000;0.9522569444444564;0.7739583333333429;0.7958203748006472;0.5424929178470255;0.008026440037771483;0.004957507082152974;0.013220018885741265;0.018649669499527857;0.4126534466477809;0.7757847533632287;0.005979073243647235;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.19133034379671152;0.638496340587915;0.006853111615016377;0.006385404789053592;0.011681268251981644;0.01067120530588537;0.2614412077447097
19;22.61997890472412;4236;5000;0.9522569444444564;0.7739583333333429;0.7958203748006472;0.5424929178470255;0.008026440037771483;0.004957507082152974;0.013220018885741265;0.018649669499527857;0.4126534466477809;0.7757847533632287;0.005979073243647235;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.19133034379671152;0.638496340587915;0.006853111615016377;0.006385404789053592;0.011681268251981644;0.01067120530588537;0.2614412077447097
20;22.036659002304077;4236;5000;0.9522569444444564;0.7739583333333429;0.7958203748006472;0.5424929178470255;0.008026440037771483;0.004957507082152974;0.013220018885741265;0.018649669499527857;0.4126534466477809;0.7757847533632287;0.005979073243647235;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.19133034379671152;0.638496340587915;0.006853111615016377;0.006385404789053592;0.011681268251981644;0.01067120530588537;0.2614412077447097
21;24.22807288169861;4236;5000;0.9522569444444564;0.7739583333333429;0.7958203748006472;0.5424929178470255;0.008026440037771483;0.004957507082152974;0.013220018885741265;0.018649669499527857;0.4126534466477809;0.7757847533632287;0.005979073243647235;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.19133034379671152;0.638496340587915;0.006853111615016377;0.006385404789053592;0.011681268251981644;0.01067120530588537;0.2614412077447097
22;20.9965181350708;4236;5000;0.9522569444444564;0.7739583333333429;0.7958203748006472;0.5424929178470255;0.008026440037771483;0.004957507082152974;0.013220018885741265;0.018649669499527857;0.4126534466477809;0.7757847533632287;0.005979073243647235;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.19133034379671152;0.638496340587915;0.006853111615016377;0.006385404789053592;0.011681268251981644;0.01067120530588537;0.2614412077447097
