Threshold;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Precision 0;Precision 1;Precision 2;Precision 3;Precision 4;Precision 5;Recall 0;Recall 1;Recall 2;Recall 3;Recall 4;Recall 5;F-Measure 0;F-Measure 1;F-Measure 2;F-Measure 3;F-Measure 4;F-Measure 5
0.0;9.165688037872314;6;5000;0.02128167380442491;0.9760416666666798;0.012085480170539132;0.5;0.0;0.0;0.0;0.0;0.5;0.004484304932735426;0.0;0.0;0.0;0.0;0.9955156950672646;0.008888888888888889;0.0;0.0;0.0;0.0;0.6656671664167916
0.05;15.359956979751587;309;5000;0.43669272312876406;0.9760416666666798;0.3130047184333409;0.47896440129449835;0.003236245954692557;0.003236245954692557;0.016181229773462782;0.022653721682847898;0.47572815533980584;0.21076233183856502;0.0014947683109118087;0.0014947683109118087;0.013452914798206279;0.01046337817638266;0.7623318385650224;0.2927178235529278;0.002044989775051125;0.002044989775051125;0.014691478942213516;0.014314928425357875;0.5858564546189824
0.1;23.487298011779785;358;5000;0.4996543018781746;0.9750000000000131;0.3643183844694398;0.4860335195530726;0.002793296089385475;0.008379888268156424;0.01675977653631285;0.025139664804469275;0.46089385474860334;0.2436472346786248;0.0014947683109118087;0.007473841554559043;0.014947683109118086;0.017937219730941704;0.7144992526158446;0.32458228427557795;0.0019474196689386566;0.007900974453515933;0.015801948907031866;0.020936318697295727;0.5603373249167878
0.15000000000000002;25.565124988555908;299;5000;0.4555765511915982;0.9666666666666794;0.34237614703887675;0.4782608695652174;0.0;0.006688963210702341;0.020066889632107024;0.030100334448160536;0.46488294314381273;0.20926756352765322;0.0;0.005979073243647235;0.013452914798206279;0.02391629297458894;0.7473841554559043;0.29114283013517345;0.0;0.006314127861089188;0.016107382550335572;0.026654326700601576;0.5732171503272286
0.2;22.61970615386963;306;5000;0.4358741501606427;0.9281250000000122;0.3438240522586665;0.4934640522875817;0.006535947712418301;0.006535947712418301;0.029411764705882353;0.049019607843137254;0.4150326797385621;0.21225710014947682;0.004484304932735426;0.005979073243647235;0.01943198804185351;0.04633781763826607;0.7115097159940209;0.2968346588588713;0.005319148936170213;0.00624512099921936;0.023402340234023402;0.047641001997848466;0.5242586256986631
0.25;21.750184059143066;413;5000;0.5373754733675148;0.8822916666666781;0.4367702073301377;0.44794188861985473;0.004842615012106538;0.009685230024213076;0.031476997578692496;0.05569007263922518;0.45036319612590797;0.26756352765321373;0.004484304932735426;0.013452914798206279;0.03587443946188341;0.07174887892376682;0.6068759342301944;0.3350160856281488;0.004656577415599533;0.011262318160488035;0.03353216185716589;0.06270767657834199;0.5170345620857753
0.30000000000000004;21.668797969818115;418;5000;0.5396817408374786;0.8739583333333446;0.44416238896185545;0.44258373205741625;0.007177033492822967;0.009569377990430622;0.028708133971291867;0.0645933014354067;0.4473684210526316;0.26756352765321373;0.007473841554559043;0.013452914798206279;0.03288490284005979;0.08819133034379671;0.5904334828101644;0.33350622145457653;0.00732243104710764;0.011183597390493943;0.030654900139340458;0.07456992393212405;0.5090399120645871
0.35000000000000003;21.66986083984375;597;5000;0.6722238898506684;0.8145833333333434;0.575071716828381;0.39865996649916247;0.006700167504187605;0.021775544388609715;0.038525963149078725;0.09715242881072027;0.4371859296482412;0.34678624813153963;0.007473841554559043;0.029895366218236172;0.05680119581464873;0.14798206278026907;0.4110612855007474;0.3709182268260078;0.007065889418830596;0.025197460871250667;0.045911801013841826;0.11729738011337522;0.4237213091527345
0.4;21.69354796409607;608;5000;0.6769627687989136;0.8104166666666767;0.5835383299957113;0.39144736842105265;0.006578947368421052;0.02138157894736842;0.04276315789473684;0.09703947368421052;0.4407894736842105;0.34678624813153963;0.008968609865470852;0.029895366218236172;0.059790732436472344;0.14499252615844543;0.40956651718983555;0.36776587029352803;0.007590132827324478;0.024931677614230235;0.04986335522846047;0.11626560484321513;0.4246047807935608
0.45;21.72207498550415;609;5000;0.680255242428024;0.8052083333333434;0.5842011976156537;0.3924466338259442;0.008210180623973728;0.024630541871921183;0.03940886699507389;0.09688013136288999;0.43842364532019706;0.3482810164424514;0.01046337817638266;0.03288490284005979;0.05530642750373692;0.14499252615844543;0.4080717488789238;0.3690471456784233;0.009200841219768666;0.028165407758289594;0.04602347819326752;0.11615116090274397;0.4227035490605428
