Basecluster-amount;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Precision 0;Precision 1;Precision 2;Precision 3;Precision 4;Precision 5;Recall 0;Recall 1;Recall 2;Recall 3;Recall 4;Recall 5;F-Measure 0;F-Measure 1;F-Measure 2;F-Measure 3;F-Measure 4;F-Measure 5
100;1.1005518436431885;94;100;0.157204861111111;0.08333333333333334;0.08775271512113615;0.648936170212766;0.02127659574468085;0.0;0.031914893617021274;0.010638297872340425;0.2872340425531915;0.07025411061285501;0.0;0.0;0.007473841554559043;0.0;0.922272047832586;0.12678267406637628;0.0;0.0;0.012111425111021397;0.0;0.438043149577313
150;0.9431891441345215;139;150;0.2102430555555554;0.11979166666666657;0.1260907833029542;0.6187050359712231;0.014388489208633094;0.0;0.04316546762589928;0.02877697841726619;0.2949640287769784;0.09566517189835576;0.0;0.0;0.014947683109118086;0.0014947683109118087;0.8878923766816144;0.16570826433840133;0.0;0.0;0.02220577350111029;0.0028419182948490234;0.4428201281876449
200;0.9112451076507568;185;200;0.23663194444444421;0.14687499999999984;0.15202828330295415;0.5567567567567567;0.010810810810810811;0.005405405405405406;0.032432432432432434;0.032432432432432434;0.3621621621621622;0.11659192825112108;0.0;0.0029895366218236174;0.014947683109118086;0.005979073243647235;0.85949177877429;0.19280751646927538;0.0;0.0038498556304138593;0.020463847203274214;0.010096760622633571;0.5095966877868755
250;1.0691120624542236;234;250;0.30276537698412664;0.18854166666666633;0.19042181685273757;0.5085470085470085;0.008547008547008548;0.008547008547008548;0.029914529914529916;0.038461538461538464;0.405982905982906;0.13153961136023917;0.0;0.004484304932735426;0.016442451420029897;0.01046337817638266;0.8370702541106129;0.20901569813279045;0.0;0.005882352941176471;0.021220890175003445;0.01645123384253819;0.5467766386597805
300;0.9599869251251221;278;300;0.34001984126984097;0.20937499999999962;0.2145512811384519;0.5035971223021583;0.007194244604316547;0.007194244604316547;0.039568345323741004;0.039568345323741004;0.4028776978417266;0.14648729446935724;0.0;0.004484304932735426;0.016442451420029897;0.02092675635276532;0.8116591928251121;0.22695692450208427;0.0;0.005524861878453039;0.023231256599788808;0.02737534441382988;0.5384758413685021
350;1.0054330825805664;325;350;0.38012400793650747;0.23749999999999952;0.24613798147515217;0.5169230769230769;0.006153846153846154;0.006153846153846154;0.033846153846153845;0.04;0.39692307692307693;0.17638266068759342;0.0;0.004484304932735426;0.016442451420029897;0.02092675635276532;0.7817638266068759;0.2630189330113704;0.0;0.005188067444876783;0.022132796780684107;0.02747791952894995;0.5265182849740123
400;1.2373251914978027;371;400;0.4092906746031741;0.2614583333333328;0.2716240925862632;0.5363881401617251;0.005390835579514825;0.005390835579514825;0.029649595687331536;0.0431266846361186;0.38005390835579517;0.19581464872944693;0.0;0.004484304932735426;0.016442451420029897;0.02242152466367713;0.7608370702541106;0.2868949882244184;0.0;0.004895960832313342;0.02115384615384615;0.029503964595242484;0.5069004972313256
450;1.0932800769805908;419;450;0.4355059523809518;0.2843749999999994;0.29558242591959644;0.548926014319809;0.00477326968973747;0.00477326968973747;0.028639618138424822;0.03818615751789976;0.3747016706443914;0.2242152466367713;0.0;0.004484304932735426;0.017937219730941704;0.02092675635276532;0.7324364723467862;0.3183831672203765;0.0;0.004624277456647399;0.022058823529411766;0.027036813518406762;0.49577403066929177
500;1.2179291248321533;465;500;0.45533707611832547;0.31458333333333266;0.31199319856198676;0.5397849462365591;0.008602150537634409;0.004301075268817204;0.043010752688172046;0.03870967741935484;0.3655913978494624;0.23467862481315396;0.0;0.004484304932735426;0.025411061285500747;0.02092675635276532;0.7144992526158446;0.3271322076671482;0.0;0.004390779363336992;0.031947380784590085;0.027166882276843468;0.4836904761904762
600;1.2887330055236816;556;600;0.48886769480519404;0.34479166666666594;0.34590338763761697;0.5215827338129496;0.01079136690647482;0.00539568345323741;0.03776978417266187;0.03597122302158273;0.38848920863309355;0.26307922272047835;0.0029895366218236174;0.005979073243647235;0.025411061285500747;0.01943198804185351;0.6831091180866966;0.3497495425983157;0.0046820132657042525;0.0056724178681162845;0.030381685885706992;0.025232919254658384;0.4952984977270219
700;1.2109558582305908;644;700;0.5261841630591628;0.37604166666666583;0.378428068731377;0.4984472049689441;0.012422360248447204;0.007763975155279503;0.034161490683229816;0.034161490683229816;0.41304347826086957;0.2825112107623318;0.004484304932735426;0.008968609865470852;0.026905829596412557;0.02092675635276532;0.656203288490284;0.3606259194864251;0.006589785831960461;0.008322929671244279;0.03010262257696693;0.02595432712564254;0.5069746239173378
800;1.6430401802062988;734;800;0.5831286075036085;0.41145833333333237;0.41742954179535;0.5054495912806539;0.010899182561307902;0.006811989100817439;0.02997275204359673;0.035422343324250684;0.4114441416893733;0.32286995515695066;0.0029895366218236174;0.008968609865470852;0.02391629297458894;0.02242152466367713;0.6188340807174888;0.39403751263082587;0.00469208211143695;0.007742934572202865;0.026604187136270878;0.02746092099704267;0.4942658238356717
900;1.665522813796997;830;900;0.6262362463924988;0.4395833333333322;0.45135315290646105;0.5156626506024097;0.00963855421686747;0.006024096385542169;0.027710843373493974;0.03855421686746988;0.40240963855421685;0.3617339312406577;0.0029895366218236174;0.007473841554559043;0.02092675635276532;0.02092675635276532;0.585949177877429;0.4251958160232517;0.004563605248146035;0.0066711140760507;0.023845669641204135;0.02712849703282064;0.47713764062346253
1000;1.681196928024292;921;1000;0.659916801948055;0.46979166666666544;0.4829677362397943;0.512486427795874;0.008686210640608035;0.006514657980456026;0.02714440825190011;0.03691639522258415;0.40825190010857765;0.3901345291479821;0.0029895366218236174;0.008968609865470852;0.02242152466367713;0.01943198804185351;0.5560538116591929;0.44301796820636197;0.004448151237142063;0.007547169811320755;0.02455795677799607;0.025461562833030905;0.47082584371781155
