Text Types;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Ground Truth 0;Ground Truth 1;Ground Truth 2;Ground Truth 3;Ground Truth 4;Ground Truth 5;Ground Truth Rep 0;Ground Truth Rep 1;Ground Truth Rep 2;Ground Truth Rep 3;Ground Truth Rep 4;Ground Truth Rep 5;fMeasure 0;fMeasure 1;fMeasure 2;fMeasure 3;fMeasure 4;fMeasure 5
All;29.395138025283813;4636;5000;0.8928749173280522;0.744791666666675;0.7417181917759345;0.47886108714408976;0.007765314926660914;0.008843830888697153;0.022217428817946507;0.04616048317515099;0.4361518550474547;0.6875934230194319;0.007473841554559043;0.01046337817638266;0.025411061285500747;0.017937219730941704;0.25112107623318386;0.5645513497376815;0.007616790792146242;0.009585678261886074;0.023707173755576464;0.025835269972534936;0.31872904709495276
Frontpage;23.39612913131714;4140;5000;0.9700055047425605;0.7468750000000094;0.7825454869204961;0.5606280193236715;0.002173913043478261;0.0036231884057971015;0.004830917874396135;0.00748792270531401;0.421256038647343;0.7862481315396114;0.0;0.0029895366218236174;0.0029895366218236174;0.007473841554559043;0.20029895366218237;0.6545408535142045;0.0;0.0032760032760032758;0.0036934441366574334;0.007480875503752503;0.2715033900746792
Article sans bread text;26.938498973846436;4332;5000;0.954513888888901;0.7864583333333437;0.8027218298271027;0.5399353647276085;0.009233610341643583;0.00530932594644506;0.013388734995383195;0.02077562326869806;0.4113573407202216;0.7862481315396114;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.17937219730941703;0.6402178474760649;0.008261049153242463;0.00667005002537519;0.011746665509359721;0.010993037742762916;0.24981337595020553
Article with bread text;28.779535055160522;4585;5000;0.8767807539682632;0.7229166666666743;0.7254277058045503;0.4902944383860414;0.007197382769901854;0.008724100327153763;0.02311886586695747;0.046455834242093784;0.42420937840785167;0.6621823617339312;0.004484304932735426;0.008968609865470852;0.028400597907324365;0.02092675635276532;0.2750373692077728;0.5634201558273153;0.005525787006028132;0.008844665561083473;0.02548899252668814;0.028855225534261956;0.33371176005725356
Article text;27.18210506439209;4449;5000;0.2854166666666663;0.16874999999999982;0.18817460317460283;0.5216902674758372;0.004720161834120027;0.009889862890537199;0.015284333558102945;0.034614520116880196;0.4138008541245224;0.14798206278026907;0.0;0.0;0.0029895366218236174;0.0;0.8490284005979073;0.23056291390728478;0.0;0.0;0.005000919286633572;0.0;0.5564151701895967
