Article Text Amount;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Ground Truth 0;Ground Truth 1;Ground Truth 2;Ground Truth 3;Ground Truth 4;Ground Truth 5;Ground Truth Rep 0;Ground Truth Rep 1;Ground Truth Rep 2;Ground Truth Rep 3;Ground Truth Rep 4;Ground Truth Rep 5;fMeasure 0;fMeasure 1;fMeasure 2;fMeasure 3;fMeasure 4;fMeasure 5
0.0;39.52015709877014;4874;5000;0.9380811838624453;0.8458333333333451;0.8044895776422291;0.3998768978251949;0.013336068937217891;0.010258514567090685;0.03672548215018465;0.0867870332375872;0.4530160032827247;0.7309417040358744;0.01195814648729447;0.005979073243647235;0.03139013452914798;0.043348281016442454;0.17638266068759342;0.5169471047255325;0.0126095760030069;0.007554867223208553;0.03384885527115553;0.05781779875710821;0.25390637942896793
0.05;28.13550305366516;4450;5000;0.929809027777789;0.7614583333333428;0.7755144885572602;0.5238202247191012;0.009887640449438202;0.007415730337078652;0.017977528089887642;0.028764044943820226;0.41213483146067414;0.7473841554559043;0.007473841554559043;0.007473841554559043;0.01046337817638266;0.01046337817638266;0.21674140508221226;0.6159433406113826;0.008512943543706226;0.007444672547205992;0.013227825676154482;0.01534483053895292;0.28408350407756455
0.1;29.732059001922607;4528;5000;0.8975272817460419;0.7333333333333416;0.7422767422027361;0.5099381625441696;0.007729681978798587;0.0088339222614841;0.02142226148409894;0.03688162544169611;0.41519434628975266;0.6965620328849028;0.005979073243647235;0.008968609865470852;0.02092675635276532;0.014947683109118086;0.2526158445440957;0.5888164204085128;0.006742601199219785;0.008900756564307968;0.021171610086915853;0.021273478850722595;0.31411521380635826
0.15000000000000002;31.80730390548706;4585;5000;0.8767807539682632;0.7229166666666743;0.7254277058045503;0.4902944383860414;0.007197382769901854;0.008724100327153763;0.02311886586695747;0.046455834242093784;0.42420937840785167;0.6621823617339312;0.004484304932735426;0.008968609865470852;0.028400597907324365;0.02092675635276532;0.2750373692077728;0.5634201558273153;0.005525787006028132;0.008844665561083473;0.02548899252668814;0.028855225534261956;0.33371176005725356
0.2;31.91943097114563;4623;5000;0.864193948412707;0.7177083333333406;0.7158931157176339;0.45684620376378976;0.009301319489508977;0.008436080467229072;0.02509193164611724;0.04715552671425481;0.4531689379191002;0.6397608370702541;0.008968609865470852;0.007473841554559043;0.0343796711509716;0.017937219730941704;0.2914798206278027;0.5330483917192382;0.009131935226971064;0.007925862699670772;0.02901056362914757;0.02598873424134951;0.3547702167569821
0.25;30.814576864242554;4646;5000;0.858289930555564;0.7177083333333403;0.7102053182384116;0.45630650021523894;0.010331467929401636;0.008179078777442962;0.027765820060266896;0.056392595781317265;0.44102453723633234;0.6292974588938715;0.008968609865470852;0.007473841554559043;0.03587443946188341;0.016442451420029897;0.30194319880418535;0.5290189274878002;0.009601920384076815;0.007810573049412153;0.03130355653294912;0.025461163333097746;0.35846606269592207
0.30000000000000004;30.87827205657959;4680;5000;0.8667534722222311;0.7291666666666741;0.7203797490886363;0.4493589743589744;0.009615384615384616;0.008547008547008548;0.03034188034188034;0.06153846153846154;0.4405982905982906;0.6352765321375187;0.013452914798206279;0.007473841554559043;0.03587443946188341;0.017937219730941704;0.28998505231689087;0.5263836730511172;0.011214953271028038;0.007974481658692184;0.03287702949092698;0.02777777777777778;0.34976685299191485
0.35000000000000003;33.30029892921448;4711;5000;0.8707564484127073;0.7343750000000077;0.7228640122605973;0.45085969008703036;0.010613457864572278;0.008915304606240713;0.03226491190829973;0.06495436213118234;0.4323922734026746;0.6352765321375187;0.013452914798206279;0.007473841554559043;0.0343796711509716;0.01943198804185351;0.28998505231689087;0.5274118927963903;0.01186568049677649;0.008131183087139178;0.03328873886526917;0.02991461025654523;0.3471518043543096
0.4;10831.827666044235;4726;5000;0.8732142857142947;0.7375000000000079;0.7261490952331805;0.44181125687685147;0.012060939483707152;0.009310198899703767;0.03322048243757935;0.0683453237410072;0.4352517985611511;0.6367713004484304;0.013452914798206279;0.007473841554559043;0.0343796711509716;0.02092675635276532;0.28699551569506726;0.5216712001942437;0.0127189557067946;0.008291561451777034;0.033790138070752485;0.032042401975546586;0.34590731434952543
0.45;36.44375205039978;4753;5000;0.8709461805555643;0.7364583333333412;0.7212451678903945;0.4340416579002735;0.011992425836313906;0.010098884914790659;0.033873343151693665;0.07195455501788345;0.4380391331790448;0.6322869955156951;0.01046337817638266;0.005979073243647235;0.03288490284005979;0.02242152466367713;0.29596412556053814;0.51473604300748;0.011175844490504733;0.007511149362334716;0.03337180544105524;0.03418940128560147;0.3532514807502468
