Avg CF limit;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Precision 0;Precision 1;Precision 2;Precision 3;Precision 4;Precision 5;Recall 0;Recall 1;Recall 2;Recall 3;Recall 4;Recall 5;F-Measure 0;F-Measure 1;F-Measure 2;F-Measure 3;F-Measure 4;F-Measure 5
4;21.339640140533447;4338;5000;0.954513888888901;0.7864583333333434;0.8027218298271022;0.5394190871369294;0.009220839096357769;0.005301982480405717;0.013370216689718764;0.02074688796680498;0.4119409866297833;0.7862481315396114;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.17937219730941703;0.6398547741138602;0.00825593395252838;0.006664252082578776;0.011739532731899142;0.010989010989010988;0.24992089451261404
5;22.337289094924927;4336;5000;0.954513888888901;0.7864583333333434;0.8027218298271022;0.5394372693726938;0.00922509225092251;0.005304428044280443;0.013376383763837638;0.020756457564575646;0.41190036900369004;0.7862481315396114;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.17937219730941703;0.6398675656158441;0.008257638315441783;0.006666183609883342;0.011741909361714434;0.01099035291244352;0.24991341885335078
6;22.80542802810669;4331;5000;0.954513888888901;0.7864583333333434;0.8027218298271022;0.5398291387670284;0.009235742322789195;0.005310551835603787;0.013391826368044332;0.020780420226275687;0.4114523204802586;0.7862481315396114;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.17937219730941703;0.6401431669333522;0.008261902303005268;0.006671017330142847;0.011747855148367306;0.01099370915531668;0.24983088748146773
7;22.118549823760986;4329;5000;0.954513888888901;0.7864583333333434;0.8027218298271022;0.5400785400785401;0.00924000924000924;0.005313005313005313;0.013398013398013399;0.02079002079002079;0.41118041118041115;0.7862481315396114;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.17937219730941703;0.640318485797058;0.00826360913128809;0.00667295278160586;0.011750235149410317;0.010995052226498075;0.24978074022101385
8;24.180459022521973;4324;5000;0.954513888888901;0.7864583333333434;0.8027218298271022;0.5397779833487512;0.009250693802035153;0.005319148936170213;0.01341350601295097;0.020814061054579093;0.4114246068455134;0.7862481315396114;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.17937219730941703;0.6401071986276907;0.008267879288962379;0.00667779632721202;0.011756189373099753;0.010998411340584137;0.24982577846744736
9;23.287811040878296;4323;5000;0.954513888888901;0.7864583333333434;0.8027218298271022;0.5396715244043488;0.009252833680314597;0.005320379366180893;0.013416608836456165;0.020818875780707843;0.4115197779319917;0.7862481315396114;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.17937219730941703;0.6400323365083089;0.0082687338501292;0.0066787658802177855;0.011757380942038428;0.010999083409715858;0.24984332127302125
10;22.18179488182068;4322;5000;0.954513888888901;0.7864583333333434;0.8027218298271022;0.5395650161962054;0.00925497454881999;0.005321610365571495;0.013419713095788986;0.020823692734844978;0.4116149930587691;0.7862481315396114;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.17937219730941703;0.6399574277158092;0.008269588587967749;0.006679735714804327;0.011758572752548655;0.010999755560987534;0.2498608665424853
11;20.939252853393555;4313;5000;0.954513888888901;0.7864583333333434;0.8027218298271022;0.539067934152562;0.009274287039183864;0.005332715047530721;0.0134477162068166;0.02086714583816369;0.4120102017157431;0.7862481315396114;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.17937219730941703;0.6396076633674707;0.008277289187790998;0.006688476917484551;0.011769309929992897;0.011005808621216754;0.24993363115801764
12;20.222690105438232;4311;5000;0.954513888888901;0.7864583333333434;0.8027218298271022;0.538854094177685;0.009278589654372536;0.005335189051264208;0.013453954998840176;0.020876826722338204;0.4122013453954999;0.7862481315396114;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.17937219730941703;0.639457117341018;0.008279002380213184;0.006690422514726202;0.011771698632917266;0.011007154650522839;0.24996878906861308
13;21.83845615386963;4306;5000;0.954513888888901;0.7864583333333434;0.8027218298271022;0.5387830933581049;0.009289363678588018;0.005341384115188109;0.013469577333952624;0.02090106827682304;0.41221551323734323;0.7862481315396114;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.17937219730941703;0.6394071211274927;0.008283288465520813;0.006695291463503384;0.011777674634485959;0.01101052116466846;0.24997139411863079
