Min Term Occurrence;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Precision 0;Precision 1;Precision 2;Precision 3;Precision 4;Precision 5;Recall 0;Recall 1;Recall 2;Recall 3;Recall 4;Recall 5;F-Measure 0;F-Measure 1;F-Measure 2;F-Measure 3;F-Measure 4;F-Measure 5
10;19.611464977264404;4449;5000;0.9534722222222342;0.7781250000000097;0.8001127028429751;0.5311305911440773;0.008766014834794335;0.004944931445268599;0.012811867835468645;0.018655877725331536;0.42369071701505956;0.7862481315396114;0.007473841554559043;0.005979073243647235;0.007473841554559043;0.0029895366218236174;0.1898355754857997;0.6339869131024803;0.008068520357497515;0.005413052838777141;0.009440524694425122;0.005153279006596818;0.26219437398416723
15;19.658861875534058;4519;5000;0.9513888888889006;0.7708333333333427;0.7944286629668618;0.5266651914140297;0.007523788448771852;0.00464704580659438;0.013719849524231024;0.01748174374861695;0.42996238105775614;0.7817638266068759;0.005979073243647235;0.007473841554559043;0.007473841554559043;0.0;0.19730941704035873;0.6293467810783392;0.006663073832737249;0.005730815413164502;0.009676462784636275;0.0;0.27049080482499505
20;21.539968967437744;4551;5000;0.9453125000000115;0.7614583333333423;0.7858297271804258;0.5326301911667766;0.007251153592617007;0.004174906613931004;0.013623379477038013;0.017578554163920016;0.42474181498571745;0.7713004484304933;0.004484304932735426;0.008968609865470852;0.007473841554559043;0.0;0.2077727952167414;0.6301223283186884;0.0055415617128463475;0.005697578529125121;0.009652359379135333;0.0;0.2790442867928918
25;21.981377840042114;4572;5000;0.9460416666666783;0.7625000000000091;0.7865241716248703;0.5301837270341208;0.00699912510936133;0.003937007874015748;0.013560804899387576;0.01706036745406824;0.42825896762904636;0.772795216741405;0.004484304932735426;0.007473841554559043;0.007473841554559043;0.0014947683109118087;0.2062780269058296;0.628902639146079;0.005466347796378545;0.0051572975760701386;0.00963660667101868;0.002748704937096945;0.27844054990679284
30;21.59741711616516;4583;5000;0.9460416666666783;0.7635416666666758;0.7872186160693148;0.5271656120445123;0.007200523674449051;0.0039275583678813;0.013528256600480034;0.01658302421994327;0.431595025092734;0.7742899850523169;0.004484304932735426;0.007473841554559043;0.007473841554559043;0.0014947683109118087;0.20478325859491778;0.6272654323060584;0.0055267124434768035;0.005149183282318277;0.009628375755128663;0.002742345788153788;0.277770118488914
35;23.18401312828064;4593;5000;0.9444791666666783;0.7614583333333425;0.785551949402648;0.5266710211190943;0.006531678641410843;0.003919007184846506;0.013498802525582408;0.01676464184628783;0.43261484868277816;0.7713004484304933;0.004484304932735426;0.007473841554559043;0.008968609865470852;0.0014947683109118087;0.2062780269058296;0.6259330105390793;0.0053177346450412125;0.005141828777101723;0.010776985920389363;0.0027448044772395114;0.27935493039966136
40;22.377400159835815;4603;5000;0.945520833333345;0.7625000000000092;0.7865936160693147;0.5283510753856181;0.006300238974581794;0.003910493156636976;0.013252226808603084;0.01672822072561373;0.43145774494894634;0.772795216741405;0.004484304932735426;0.007473841554559043;0.008968609865470852;0.0014947683109118087;0.20478325859491778;0.6276114934788941;0.005239385727190605;0.005134495250591894;0.01069753167609277;0.002744315346781667;0.27774168110675285
45;23.170780181884766;4605;5000;0.9444791666666783;0.7614583333333425;0.785551949402648;0.5287730727470141;0.006297502714440825;0.003908794788273616;0.013246471226927252;0.016938110749185668;0.4308360477741585;0.7713004484304933;0.004484304932735426;0.007473841554559043;0.008968609865470852;0.0014947683109118087;0.2062780269058296;0.6274151445809755;0.0052384393063583815;0.005133031054837881;0.010695655985622231;0.0027471076126578267;0.27898303737646385
50;21.85592007637024;4611;5000;0.9423958333333449;0.759375000000009;0.7841333907511172;0.5256994144437215;0.006723053567555845;0.003903708523096942;0.013229234439384082;0.017132942962481024;0.43331164606376055;0.7683109118086696;0.004484304932735426;0.007473841554559043;0.008968609865470852;0.0014947683109118087;0.20926756352765322;0.6242617825443232;0.005380076362374175;0.005128643473801179;0.010690032858707557;0.00274964324249069;0.28223157881991845
60;22.496171951293945;4621;5000;0.9403125000000115;0.7572916666666756;0.7817226764654028;0.5215321359013201;0.006492101276779918;0.0038952607660679506;0.0132006059294525;0.016879463319627787;0.43800043280675177;0.7653213751868461;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0014947683109118087;0.21076233183856502;0.6203343084709275;0.005304570771815047;0.005431502715751357;0.01068067410811994;0.0027463338203968105;0.284584743747186
70;20.851887941360474;4624;5000;0.9403125000000115;0.7572916666666756;0.7817226764654028;0.5216262975778547;0.006487889273356401;0.0038927335640138406;0.013192041522491349;0.016652249134948095;0.43814878892733566;0.7653213751868461;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0014947683109118087;0.21076233183856502;0.6204009127088986;0.00530316422131872;0.005429045392851758;0.010677869677475822;0.002743288740046672;0.2846160513864355
80;21.69305396080017;4629;5000;0.9403125000000115;0.7572916666666756;0.7817226764654028;0.520198747029596;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.4396197882912076;0.7653213751868461;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0014947683109118087;0.21076233183856502;0.6193901029891987;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0027430444230700725;0.28492570393584443
90;21.90518617630005;4629;5000;0.9403125000000115;0.7572916666666756;0.7817226764654028;0.5206308057895874;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43918772953121626;0.7653213751868461;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0014947683109118087;0.21076233183856502;0.6196962688752187;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0027430444230700725;0.28483489884069985
100;23.5957510471344;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5217109526895658;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43810758263123784;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6209514443983328;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846073570446412
150;24.09578800201416;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
200;23.06633687019348;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
250;22.572497129440308;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
300;22.283918142318726;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
350;21.843657970428467;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
400;22.380806922912598;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
450;20.896267890930176;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
500;19.43550395965576;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
600;20.33267879486084;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
700;20.14896011352539;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
800;19.936843872070312;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
900;20.29635214805603;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
1000;20.141556978225708;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
