Threshold;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Precision 0;Precision 1;Precision 2;Precision 3;Precision 4;Precision 5;Recall 0;Recall 1;Recall 2;Recall 3;Recall 4;Recall 5;F-Measure 0;F-Measure 1;F-Measure 2;F-Measure 3;F-Measure 4;F-Measure 5
0.05;15.448170900344849;320;5000;0.45071455792693227;0.9760416666666798;0.3180371185381107;0.471875;0.003125;0.003125;0.015625;0.025;0.48125;0.21524663677130046;0.0014947683109118087;0.0014947683109118087;0.014947683109118086;0.01195814648729447;0.7548579970104634;0.2956376317989925;0.0020222446916076846;0.0020222446916076846;0.015278838808250572;0.016177957532861477;0.5877729323649226
0.1;16.819690942764282;356;5000;0.4925476300708613;0.9750000000000131;0.3645968124211803;0.4943820224719101;0.0028089887640449437;0.008426966292134831;0.011235955056179775;0.03089887640449438;0.45224719101123595;0.24663677130044842;0.0014947683109118087;0.007473841554559043;0.008968609865470852;0.02092675635276532;0.7144992526158446;0.32909498878085264;0.0019512195121951217;0.007921837866385001;0.009975062344139652;0.024953414891031353;0.5538997470103679
0.15000000000000002;17.938785076141357;328;5000;0.46587488328703974;0.9697916666666796;0.3497918599818682;0.49390243902439024;0.003048780487804878;0.009146341463414634;0.021341463414634148;0.024390243902439025;0.4481707317073171;0.22720478325859492;0.0014947683109118087;0.008968609865470852;0.014947683109118086;0.01943198804185351;0.7279521674140508;0.31123525917312334;0.0020060180541624875;0.009056603773584906;0.0175813135752857;0.021630615640599003;0.5547836127697333
0.2;20.063764810562134;319;5000;0.45449599532031226;0.9406250000000125;0.34645276689873244;0.5015673981191222;0.006269592476489028;0.003134796238244514;0.018808777429467086;0.025078369905956112;0.445141065830721;0.2257100149476831;0.004484304932735426;0.0029895366218236174;0.01195814648729447;0.025411061285500747;0.7294469357249627;0.3113221527102165;0.00522875816993464;0.00306044376434583;0.014620773682607372;0.025243619489559162;0.5528862648103084
0.25;20.20447087287903;409;5000;0.5438720032291677;0.9041666666666784;0.4270016472237064;0.45232273838630804;0.004889975550122249;0.007334963325183374;0.02444987775061125;0.05867970660146699;0.45232273838630804;0.26756352765321373;0.004484304932735426;0.01046337817638266;0.025411061285500747;0.0687593423019432;0.6233183856502242;0.3362338559012265;0.004678362573099414;0.00862422997946612;0.024921205013560068;0.06332090622311443;0.5242288952765376
0.30000000000000004;23.589285135269165;411;5000;0.543880532477083;0.8906250000000115;0.4341130245323219;0.45255474452554745;0.004866180048661801;0.009732360097323601;0.024330900243309004;0.06569343065693431;0.44282238442822386;0.26905829596412556;0.004484304932735426;0.013452914798206279;0.025411061285500747;0.08669656203288491;0.600896860986547;0.3374761861562188;0.004667444574095683;0.011294117647058826;0.02485925276010821;0.07474761938855874;0.5098891908843822
0.35000000000000003;21.673480987548828;589;5000;0.6707937832579121;0.8187500000000102;0.5687053519973797;0.4057724957555178;0.006791171477079796;0.02037351443123939;0.03904923599320883;0.0865874363327674;0.44142614601018676;0.3482810164424514;0.007473841554559043;0.029895366218236172;0.053811659192825115;0.13602391629297458;0.42451420029895365;0.37483508790824155;0.007116171499733143;0.024232633279483037;0.04525703041731574;0.105816366082218;0.43280502672793775
0.4;24.330442905426025;601;5000;0.6772373739645555;0.8145833333333434;0.579040814522501;0.39933444259567386;0.0066555740432612314;0.019966722129783693;0.03993344425956739;0.09484193011647254;0.43926788685524126;0.34977578475336324;0.007473841554559043;0.029895366218236172;0.05829596412556054;0.14349775784753363;0.4110612855007474;0.3729157951353612;0.007041013906002464;0.023942537909018357;0.04739840486137486;0.11420342485051499;0.42469676007850454
0.45;21.431577920913696;601;5000;0.6799549449905506;0.8125000000000101;0.5794826682026795;0.40099833610648916;0.0066555740432612314;0.019966722129783693;0.03993344425956739;0.09484193011647254;0.43760399334442596;0.351270553064275;0.007473841554559043;0.029895366218236172;0.05829596412556054;0.14349775784753363;0.40956651718983555;0.37449084849767245;0.007041013906002464;0.023942537909018357;0.04739840486137486;0.11420342485051499;0.423121299039108
0.5;22.236081838607788;1184;5000;0.9528831845238216;0.8031250000000101;0.7882392753091666;0.43074324324324326;0.015202702702702704;0.015202702702702704;0.04054054054054054;0.07010135135135136;0.4282094594594595;0.7623318385650224;0.007473841554559043;0.01195814648729447;0.007473841554559043;0.016442451420029897;0.19431988041853512;0.5504587155963303;0.010021155773299187;0.013386631960583808;0.012620950778291964;0.026637102303394555;0.2673275157522871
0.55;21.71718406677246;1184;5000;0.9528831845238216;0.7958333333333435;0.7882392753091666;0.43074324324324326;0.015202702702702704;0.015202702702702704;0.04054054054054054;0.07010135135135136;0.4282094594594595;0.7623318385650224;0.007473841554559043;0.01195814648729447;0.007473841554559043;0.016442451420029897;0.19431988041853512;0.5504587155963303;0.010021155773299187;0.013386631960583808;0.012620950778291964;0.026637102303394555;0.2673275157522871
0.6000000000000001;21.82576298713684;1188;5000;0.9536644345238217;0.79062500000001;0.7892306161442575;0.43013468013468015;0.017676767676767676;0.015151515151515152;0.04377104377104377;0.06818181818181818;0.42508417508417506;0.7638266068759342;0.008968609865470852;0.01195814648729447;0.008968609865470852;0.013452914798206279;0.19282511210762332;0.5503500269251481;0.011899702507437313;0.013366750208855471;0.014886916690523905;0.02247191011235955;0.2653040030788215
0.65;23.39897584915161;1188;5000;0.9536644345238217;0.79062500000001;0.7892306161442575;0.43013468013468015;0.017676767676767676;0.015151515151515152;0.04377104377104377;0.06902356902356903;0.42424242424242425;0.7638266068759342;0.008968609865470852;0.01195814648729447;0.008968609865470852;0.013452914798206279;0.19282511210762332;0.5503500269251481;0.011899702507437313;0.013366750208855471;0.014886916690523905;0.022517162471395884;0.26513983704029953
0.7000000000000001;22.308631896972656;1214;5000;0.9535342261904883;0.78750000000001;0.797786111574753;0.42915980230642503;0.018945634266886325;0.016474464579901153;0.044481054365733116;0.06342668863261944;0.42751235584843494;0.7787742899850523;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.005979073243647235;0.18834080717488788;0.5533722782793414;0.010719112643892435;0.011614401858304297;0.01694155611330226;0.010927992336213168;0.26148448043184885
