Text Types;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Precision 0;Precision 1;Precision 2;Precision 3;Precision 4;Precision 5;Recall 0;Recall 1;Recall 2;Recall 3;Recall 4;Recall 5;F-Measure 0;F-Measure 1;F-Measure 2;F-Measure 3;F-Measure 4;F-Measure 5
All;16.06062388420105;69;500;0.15578122279275147;0.2864583333333329;0.14855718108883265;0.08695652173913043;0.11594202898550725;0.07246376811594203;0.08695652173913043;0.17391304347826086;0.463768115942029;0.008968609865470852;0.025411061285500747;0.014947683109118086;0.013452914798206279;0.04932735426008968;0.8878923766816144;0.016260162601626015;0.04168582375478927;0.024783147459727387;0.023300970873786412;0.07685589519650654;0.6092893547456486
Frontpage;0.5849299430847168;181;500;0.3254369918699181;0.21666666666666626;0.1873405121884936;0.48066298342541436;0.011049723756906077;0.011049723756906077;0.016574585635359115;0.011049723756906077;0.4696132596685083;0.13004484304932734;0.0014947683109118087;0.004484304932735426;0.0014947683109118087;0.005979073243647235;0.8565022421524664;0.2047058823529412;0.002633311389071758;0.006379585326953748;0.0027422303473491776;0.007759456838021339;0.6066210813436461
Article sans body text;1.8348209857940674;203;500;0.34177248677248645;0.2593749999999996;0.2348736807239252;0.32019704433497537;0.034482758620689655;0.014778325123152709;0.024630541871921183;0.034482758620689655;0.5714285714285714;0.09715994020926756;0.008968609865470852;0.005979073243647235;0.004484304932735426;0.01195814648729447;0.8714499252615845;0.14908256880733944;0.014234875444839857;0.008513657325292657;0.007587253414264037;0.017758046614872364;0.6902471511025603
Article with body text;15.25493597984314;69;500;0.1575750600827526;0.28541666666666626;0.14869643315439646;0.08695652173913043;0.11594202898550725;0.07246376811594203;0.08695652173913043;0.17391304347826086;0.463768115942029;0.008968609865470852;0.025411061285500747;0.014947683109118086;0.013452914798206279;0.04932735426008968;0.8878923766816144;0.016260162601626015;0.04168582375478927;0.024783147459727387;0.023300970873786412;0.07685589519650654;0.6092893547456486
Article text;13.561603784561157;57;500;0.15754664375896782;0.24270833333333303;0.14623585531748418;0.12280701754385964;0.10526315789473684;0.05263157894736842;0.07017543859649122;0.15789473684210525;0.49122807017543857;0.01046337817638266;0.016442451420029897;0.01046337817638266;0.01195814648729447;0.03886397608370702;0.9118086696562033;0.01928374655647383;0.028442146089204912;0.01745635910224439;0.020434227330779056;0.062375049980008;0.6384808044559082
