Range-slice;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Precision 0;Precision 1;Precision 2;Precision 3;Precision 4;Precision 5;Recall 0;Recall 1;Recall 2;Recall 3;Recall 4;Recall 5;F-Measure 0;F-Measure 1;F-Measure 2;F-Measure 3;F-Measure 4;F-Measure 5
0.0-1.0;6.748366117477417;62;500;0.1771424310840616;0.2187499999999997;0.1378429575303821;0.14516129032258066;0.0967741935483871;0.016129032258064516;0.03225806451612903;0.11290322580645161;0.5967741935483871;0.013452914798206279;0.01195814648729447;0.0029895366218236174;0.007473841554559043;0.02391629297458894;0.9402092675635276;0.024623803009575923;0.021286031042128603;0.005044136191677175;0.012135922330097085;0.03947136563876652;0.7301218804410912
0.1-0.9;6.506801128387451;64;500;0.17967037823853316;0.22291666666666635;0.1409648009647255;0.140625;0.09375;0.015625;0.046875;0.109375;0.59375;0.013452914798206279;0.01195814648729447;0.0029895366218236174;0.01046337817638266;0.02391629297458894;0.9372197309417041;0.024556616643929056;0.021210782147591693;0.005018820577164366;0.017107942973523423;0.03925004380585246;0.7269565217391304
0.2-0.8;5.716064929962158;70;500;0.1869864633785512;0.227083333333333;0.14599367874069627;0.12857142857142856;0.08571428571428572;0.02857142857142857;0.07142857142857142;0.08571428571428572;0.6;0.013452914798206279;0.01195814648729447;0.0029895366218236174;0.013452914798206279;0.02391629297458894;0.9342301943198804;0.02435723951285521;0.0209881941407958;0.005412719891745602;0.022641509433962266;0.03739774055317491;0.730709275136399
0.3-0.7;4.788244962692261;73;500;0.19257011406552854;0.22916666666666632;0.1486166508533357;0.1232876712328767;0.0821917808219178;0.0547945205479452;0.0821917808219178;0.0821917808219178;0.5753424657534246;0.013452914798206279;0.01195814648729447;0.007473841554559043;0.013452914798206279;0.02242152466367713;0.9312406576980568;0.024258760107816708;0.020878642888212263;0.01315356790529431;0.023121387283236997;0.03523194362889019;0.7112548758443534
0.4-0.6;3.5462570190429688;74;500;0.20543940145502648;0.1677083333333332;0.15008668593287464;0.13513513513513514;0.06756756756756757;0.013513513513513514;0.08108108108108109;0.06756756756756757;0.6351351351351351;0.014947683109118086;0.01046337817638266;0.004484304932735426;0.013452914798206279;0.02242152466367713;0.9342301943198804;0.026917900403768506;0.018120631633445513;0.006734006734006734;0.023076923076923078;0.03367003367003367;0.7561813805619553
0.5-0.5;1.8478190898895264;118;500;0.2433275462962963;0.1718749999999999;0.1680342795677547;0.22033898305084745;0.03389830508474576;0.00847457627118644;0.0423728813559322;0.03389830508474576;0.6610169491525424;0.03886397608370702;0.007473841554559043;0.004484304932735426;0.01195814648729447;0.01195814648729447;0.9252615844544095;0.06607369758576873;0.01224739742804654;0.005865102639296187;0.0186523665190021;0.01767955801104972;0.7711301347984411
