Basecluster-amount;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Precision 0;Ground Truth 1;Ground Truth 2;Ground Truth 3;Ground Truth 4;Ground Truth 5;Ground Truth Rep 0;Ground Truth Rep 1;Ground Truth Rep 2;Ground Truth Rep 3;Ground Truth Rep 4;Ground Truth Rep 5;fMeasure 0;fMeasure 1;fMeasure 2;fMeasure 3;fMeasure 4;fMeasure 5
100;1.6689019203186035;36;100;0.13585381353868092;0.18541666666666645;0.09710726555062688;0.1388888888888889;0.05555555555555555;0.027777777777777776;0.027777777777777776;0.16666666666666666;0.5833333333333334;0.007473841554559043;0.004484304932735426;0.004484304932735426;0.007473841554559043;0.01943198804185351;0.9566517189835575;0.014184397163120565;0.008298755186721992;0.007722007722007722;0.01177856301531213;0.03480589022757698;0.7247431853110087
150;1.6989538669586182;50;150;0.15835605419202584;0.20937499999999973;0.12128317611607485;0.16;0.12;0.02;0.02;0.14;0.54;0.01195814648729447;0.01195814648729447;0.0029895366218236174;0.007473841554559043;0.02391629297458894;0.9417040358744395;0.022253129346314328;0.02174898051653829;0.005201560468140442;0.010881392818280738;0.040853547328105054;0.6863991283820593
200;1.5977189540863037;60;200;0.1771424310840616;0.21874999999999972;0.13784295753038214;0.15;0.1;0.016666666666666666;0.03333333333333333;0.11666666666666667;0.5833333333333334;0.013452914798206279;0.01195814648729447;0.0029895366218236174;0.007473841554559043;0.02391629297458894;0.9402092675635276;0.02469135802469136;0.021361815754339118;0.005069708491761724;0.01221001221001221;0.03969519758993443;0.7199738369716294
250;1.9346978664398193;75;250;0.19270034737698624;0.23229166666666634;0.1521758197858511;0.14666666666666667;0.08;0.04;0.06666666666666667;0.09333333333333334;0.5733333333333334;0.016442451420029897;0.01195814648729447;0.007473841554559043;0.013452914798206279;0.02242152466367713;0.9282511210762332;0.02956989247311828;0.02080624187256177;0.012594458438287152;0.02238805970149254;0.036157024793388434;0.7088476546945925
300;1.9908370971679688;84;300;0.2137204655642792;0.2416666666666663;0.16620872892651883;0.14285714285714285;0.08333333333333333;0.03571428571428571;0.07142857142857142;0.08333333333333333;0.5833333333333334;0.017937219730941704;0.013452914798206279;0.007473841554559043;0.013452914798206279;0.02242152466367713;0.9252615844544095;0.03187250996015936;0.02316602316602317;0.012360939431396784;0.022641509433962266;0.0353356890459364;0.7155478490628354
350;2.0329060554504395;108;350;0.24036365473922647;0.2531249999999996;0.18281587178366163;0.23148148148148148;0.06481481481481481;0.027777777777777776;0.05555555555555555;0.07407407407407407;0.5462962962962963;0.03736920777279522;0.013452914798206279;0.007473841554559043;0.013452914798206279;0.02242152466367713;0.905829596412556;0.06435006435006435;0.02228116710875332;0.01177856301531213;0.021660649819494587;0.03442340791738382;0.6815543419209104
400;2.0883700847625732;142;400;0.27521220374554967;0.26666666666666616;0.2051918638471536;0.3028169014084507;0.04929577464788732;0.02112676056338028;0.04225352112676056;0.056338028169014086;0.528169014084507;0.06427503736920777;0.01195814648729447;0.007473841554559043;0.01046337817638266;0.02092675635276532;0.8849028400597907;0.1060419235511714;0.019247293349372745;0.01104158998895841;0.016773162939297124;0.03051771117166213;0.6615067156340556
450;2.0038130283355713;175;450;0.2976263675165066;0.2739583333333328;0.22149831091505184;0.30857142857142855;0.04;0.017142857142857144;0.03428571428571429;0.045714285714285714;0.5542857142857143;0.08071748878923767;0.01046337817638266;0.007473841554559043;0.007473841554559043;0.02092675635276532;0.8729446935724963;0.12796208530805686;0.016587677725118485;0.01040943789035392;0.012272448353446513;0.02871058702896693;0.6780415696647974
500;2.003438949584961;189;500;0.30607036708740865;0.27604166666666613;0.2280229545196398;0.31216931216931215;0.037037037037037035;0.015873015873015872;0.031746031746031744;0.042328042328042326;0.5608465608465608;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.1375291375291375;0.014440433212996389;0.01016260162601626;0.007858546168958742;0.028007001750437608;0.6820111435394003
600;1.8969111442565918;231;600;0.35791862962446463;0.2874999999999994;0.2512251034232168;0.3116883116883117;0.030303030303030304;0.012987012987012988;0.025974025974025976;0.03463203463203463;0.5844155844155844;0.10762331838565023;0.007473841554559043;0.005979073243647235;0.004484304932735426;0.01943198804185351;0.8550074738415545;0.16;0.01199040767386091;0.008188331627430911;0.007648183556405354;0.024895272292040693;0.6942777380679442
