Article Text Amount;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Precision 0;Ground Truth 1;Ground Truth 2;Ground Truth 3;Ground Truth 4;Ground Truth 5;Ground Truth Rep 0;Ground Truth Rep 1;Ground Truth Rep 2;Ground Truth Rep 3;Ground Truth Rep 4;Ground Truth Rep 5;fMeasure 0;fMeasure 1;fMeasure 2;fMeasure 3;fMeasure 4;fMeasure 5
0.0;14.345618963241577;69;500;0.1557812227927514;0.2864583333333328;0.14855718108883262;0.08695652173913043;0.11594202898550725;0.07246376811594203;0.08695652173913043;0.17391304347826086;0.463768115942029;0.008968609865470852;0.025411061285500747;0.014947683109118086;0.013452914798206279;0.04932735426008968;0.8878923766816144;0.016260162601626015;0.04168582375478927;0.024783147459727387;0.023300970873786412;0.07685589519650654;0.6092893547456486
0.05;2.1137468814849854;191;500;0.34282164605502147;0.30104166666666604;0.24862563362097792;0.36649214659685864;0.04712041884816754;0.020942408376963352;0.041884816753926704;0.04712041884816754;0.47643979057591623;0.10463378176382661;0.013452914798206279;0.008968609865470852;0.01046337817638266;0.02092675635276532;0.8415545590433483;0.1627906976744186;0.020930232558139535;0.012558869701726845;0.016743907908506505;0.028982173663024725;0.608424577821058
0.1;2.976634979248047;165;500;0.2897489628167836;0.3031249999999994;0.2278626256493492;0.2909090909090909;0.048484848484848485;0.024242424242424242;0.07878787878787878;0.09090909090909091;0.4666666666666667;0.07174887892376682;0.014947683109118086;0.008968609865470852;0.028400597907324365;0.029895366218236172;0.8460388639760837;0.11510791366906475;0.022850614110254214;0.013093289689034369;0.04175118323191345;0.04499437570303712;0.6015334396113262
0.15000000000000002;3.437563896179199;148;500;0.2590480545721979;0.29999999999999943;0.21457633788646654;0.18243243243243243;0.08783783783783784;0.033783783783783786;0.10810810810810811;0.12162162162162163;0.46621621621621623;0.04035874439461883;0.02242152466367713;0.008968609865470852;0.0343796711509716;0.03886397608370702;0.8550074738415545;0.06609547123623011;0.035724100027480075;0.01417434443656981;0.052168982137794154;0.05890497168030207;0.6034078139691325
0.2;3.9278650283813477;105;500;0.21553956206279395;0.28541666666666615;0.18556536985141736;0.12380952380952381;0.09523809523809523;0.01904761904761905;0.10476190476190476;0.1523809523809524;0.5047619047619047;0.01943198804185351;0.02092675635276532;0.004484304932735426;0.0343796711509716;0.04633781763826607;0.874439461883408;0.03359173126614987;0.03431372549019608;0.007259528130671507;0.05177000204624514;0.07106526255462427;0.6400569765281476
0.25;4.697740077972412;91;500;0.19512507417066838;0.27187499999999953;0.16784748283583226;0.15384615384615385;0.08791208791208792;0.01098901098901099;0.04395604395604396;0.16483516483516483;0.5384615384615384;0.02092675635276532;0.014947683109118086;0.004484304932735426;0.02092675635276532;0.04783258594917788;0.890881913303438;0.0368421052631579;0.025550942190993294;0.006369426751592356;0.028354430379746838;0.07414845137869777;0.6712251628992036
0.30000000000000004;5.4401960372924805;90;500;0.20927101737354714;0.2812499999999995;0.17234612049968617;0.15555555555555556;0.08888888888888889;0.011111111111111112;0.044444444444444446;0.18888888888888888;0.5111111111111111;0.02092675635276532;0.016442451420029897;0.004484304932735426;0.02242152466367713;0.05082212257100149;0.8849028400597907;0.03689064558629776;0.02775149795017345;0.006389776357827476;0.029806259314456032;0.0800942285041225;0.6479644038356295
0.35000000000000003;5.987038850784302;91;500;0.2103390307830498;0.28541666666666615;0.17434325889709723;0.15384615384615385;0.10989010989010989;0.03296703296703297;0.04395604395604396;0.13186813186813187;0.5274725274725275;0.02092675635276532;0.02242152466367713;0.008968609865470852;0.02242152466367713;0.04484304932735426;0.8804185351270553;0.0368421052631579;0.037243947858472994;0.014101057579318451;0.02969561989606533;0.06692693809258227;0.6597052887027337
0.4;7.258378982543945;94;500;0.21802179554796777;0.28854166666666614;0.17701385808209164;0.1595744680851064;0.1276595744680851;0.031914893617021274;0.0425531914893617;0.11702127659574468;0.5212765957446809;0.02242152466367713;0.026905829596412557;0.008968609865470852;0.02242152466367713;0.03886397608370702;0.8804185351270553;0.03931847968545216;0.044444444444444446;0.014002333722287048;0.02936857562408223;0.058349484851576046;0.6548379411664605
0.45;7.17965292930603;98;500;0.21824968176586076;0.30729166666666613;0.18526915080673345;0.16326530612244897;0.12244897959183673;0.04081632653061224;0.07142857142857142;0.12244897959183673;0.47959183673469385;0.02391629297458894;0.026905829596412557;0.01046337817638266;0.03139013452914798;0.04035874439461883;0.866965620328849;0.041720990873533245;0.04411764705882353;0.016656751933372994;0.04361370716510903;0.06070826306913996;0.6175594395296943
0.5;8.954216003417969;113;500;0.233765062408685;0.3229166666666661;0.19558053255497013;0.1415929203539823;0.12389380530973451;0.05309734513274336;0.061946902654867256;0.168141592920354;0.45132743362831856;0.02391629297458894;0.03139013452914798;0.013452914798206279;0.02242152466367713;0.06278026905829596;0.8460388639760837;0.04092071611253197;0.05008944543828264;0.021466905187835422;0.03292568203198495;0.09142464340952054;0.5886395383219307
0.55;8.039564847946167;120;500;0.2374400591970358;0.33541666666666603;0.2006496319072376;0.125;0.125;0.06666666666666667;0.06666666666666667;0.14166666666666666;0.475;0.02242152466367713;0.03288490284005979;0.013452914798206279;0.028400597907324365;0.059790732436472344;0.8430493273542601;0.03802281368821293;0.05207100591715977;0.02238805970149254;0.03983228511530398;0.0840907685648921;0.6076380028918942
0.6000000000000001;9.886817216873169;109;500;0.22963181780308056;0.3364583333333327;0.19882462931438238;0.13761467889908258;0.10091743119266056;0.07339449541284404;0.06422018348623854;0.1651376146788991;0.45871559633027525;0.02242152466367713;0.026905829596412557;0.016442451420029897;0.025411061285500747;0.061285500747384154;0.8475336322869955;0.038560411311053984;0.042484711940778894;0.026866127308807816;0.036413708690330476;0.08939494882199746;0.5952568423041795
0.65;9.698952913284302;111;500;0.2236040747485569;0.34270833333333267;0.2024394451513812;0.12612612612612611;0.09009009009009009;0.09009009009009009;0.06306306306306306;0.15315315315315314;0.4774774774774775;0.02092675635276532;0.02242152466367713;0.01943198804185351;0.026905829596412557;0.059790732436472344;0.8505231689088192;0.0358974358974359;0.03590664272890484;0.03196852330013525;0.03771890435563539;0.08600518560677922;0.6116046077715583
0.7000000000000001;11.193115949630737;99;500;0.19941315771154242;0.3489583333333326;0.1927416162283565;0.1111111111111111;0.09090909090909091;0.09090909090909091;0.0707070707070707;0.18181818181818182;0.45454545454545453;0.016442451420029897;0.02242152466367713;0.02391629297458894;0.025411061285500747;0.0687593423019432;0.8430493273542601;0.028645833333333336;0.03597122302158273;0.0378698224852071;0.0373861137291863;0.09978308026030369;0.5906377631165566
0.75;10.815128803253174;85;500;0.1768239468041785;0.31666666666666604;0.17466172318177642;0.08235294117647059;0.12941176470588237;0.08235294117647059;0.08235294117647059;0.21176470588235294;0.4117647058823529;0.01046337817638266;0.02391629297458894;0.014947683109118086;0.02391629297458894;0.07025411061285501;0.8565022421524664;0.01856763925729443;0.04037160224796422;0.02530272908006506;0.03706768161509184;0.10550601733491302;0.5561564059900167
0.8;10.87904405593872;82;500;0.17608203246851414;0.32083333333333275;0.17540957409121244;0.08536585365853659;0.10975609756097561;0.07317073170731707;0.0975609756097561;0.23170731707317074;0.4024390243902439;0.01046337817638266;0.01943198804185351;0.016442451420029897;0.028400597907324365;0.07324364723467862;0.852017937219731;0.018641810918774968;0.033018202342316914;0.026851098454027663;0.04399421128798843;0.11130372407197084;0.5466672479183923
0.8500000000000001;11.636369943618774;78;500;0.17028095941198895;0.3249999999999994;0.17189786771979063;0.08974358974358974;0.08974358974358974;0.07692307692307693;0.11538461538461539;0.24358974358974358;0.38461538461538464;0.01046337817638266;0.017937219730941704;0.016442451420029897;0.03587443946188341;0.07174887892376682;0.8475336322869955;0.018741633199464525;0.02989855846235985;0.0270935960591133;0.05473204104903079;0.11084776663628076;0.5291153415453528
0.9;14.477989196777344;77;500;0.17123339950621957;0.31562499999999943;0.16963997951199608;0.09090909090909091;0.1038961038961039;0.06493506493506493;0.1038961038961039;0.22077922077922077;0.4155844155844156;0.01046337817638266;0.02242152466367713;0.016442451420029897;0.026905829596412557;0.06726457399103139;0.8565022421524664;0.018766756032171584;0.03688335638543107;0.026240458015267178;0.0427426536064114;0.10311362717347351;0.5596300874422012
0.9500000000000001;13.820681095123291;77;500;0.17510842340548086;0.30937499999999946;0.16801338107733146;0.09090909090909091;0.1038961038961039;0.06493506493506493;0.1038961038961039;0.18181818181818182;0.45454545454545453;0.01046337817638266;0.02391629297458894;0.014947683109118086;0.025411061285500747;0.05829596412556054;0.866965620328849;0.018766756032171584;0.03888213851761847;0.02430133657351154;0.04083470950307762;0.08828522920203735;0.596401028277635
1.0;15.461890935897827;69;500;0.1557812227927514;0.2864583333333328;0.14855718108883262;0.08695652173913043;0.11594202898550725;0.07246376811594203;0.08695652173913043;0.17391304347826086;0.463768115942029;0.008968609865470852;0.025411061285500747;0.014947683109118086;0.013452914798206279;0.04932735426008968;0.8878923766816144;0.016260162601626015;0.04168582375478927;0.024783147459727387;0.023300970873786412;0.07685589519650654;0.6092893547456486
