Min Term Occurrence;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Precision 0;Precision 1;Precision 2;Precision 3;Precision 4;Precision 5;Recall 0;Recall 1;Recall 2;Recall 3;Recall 4;Recall 5;F-Measure 0;F-Measure 1;F-Measure 2;F-Measure 3;F-Measure 4;F-Measure 5
10;1.9958291053771973;148;500;0.2525601451111673;0.22291666666666632;0.16942124280257428;0.31756756756756754;0.02027027027027027;0.013513513513513514;0.04054054054054054;0.02702702702702703;0.581081081081081;0.07025411061285501;0.004484304932735426;0.0014947683109118087;0.004484304932735426;0.01195814648729447;0.9073243647234679;0.11505507955936353;0.0073439412484700125;0.002691790040376851;0.008075370121130552;0.016580310880829018;0.7084481237701025
15;2.2540700435638428;154;500;0.2302191158349329;0.22499999999999964;0.16839678457560026;0.3051948051948052;0.03896103896103896;0.012987012987012988;0.032467532467532464;0.03896103896103896;0.5714285714285714;0.07025411061285501;0.004484304932735426;0.0014947683109118087;0.005979073243647235;0.014947683109118086;0.9028400597907325;0.11421628189550426;0.00804289544235925;0.002680965147453083;0.01009845998485231;0.021606049693914296;0.6998841251448435
20;2.0990211963653564;157;500;0.2742350897762314;0.20937499999999967;0.16318969905831254;0.3375796178343949;0.025477707006369428;0.006369426751592357;0.01910828025477707;0.01910828025477707;0.5923566878980892;0.07922272047832586;0.0029895366218236174;0.0014947683109118087;0.0014947683109118087;0.004484304932735426;0.9103139013452914;0.12832929782082325;0.005351170568561873;0.0024213075060532684;0.002772643253234751;0.007263922518159807;0.7176962554647406
25;2.0995419025421143;141;500;0.24044558791454998;0.20416666666666636;0.1566339621497414;0.3971631205673759;0.02127659574468085;0.0;0.0070921985815602835;0.02127659574468085;0.5531914893617021;0.08370702541106129;0.004484304932735426;0.0;0.0;0.004484304932735426;0.9073243647234679;0.13827160493827162;0.007407407407407408;0.0;0.0;0.007407407407407408;0.6873244343792871
30;2.1621811389923096;161;500;0.28384424328642704;0.20937499999999964;0.16549595288233646;0.40993788819875776;0.018633540372670808;0.0;0.006211180124223602;0.018633540372670808;0.546583850931677;0.09865470852017937;0.0029895366218236174;0.0;0.0;0.0014947683109118087;0.8968609865470852;0.15903614457831328;0.005152425933877201;0.0;0.0;0.002767527675276753;0.6792219820932387
35;2.1600430011749268;143;500;0.2612570063371798;0.18541666666666645;0.14435993692775298;0.40559440559440557;0.013986013986013986;0.0;0.006993006993006993;0.013986013986013986;0.5594405594405595;0.08669656203288491;0.0014947683109118087;0.0;0.0;0.0;0.9118086696562033;0.14285714285714288;0.0027008777852802163;0.0;0.0;0.0;0.6934280639431618
40;2.0601089000701904;151;500;0.25500408249647943;0.18958333333333305;0.14276129598961174;0.4304635761589404;0.013245033112582781;0.0;0.006622516556291391;0.013245033112582781;0.5364238410596026;0.09715994020926756;0.0014947683109118087;0.0;0.0;0.0;0.9013452914798207;0.15853658536585366;0.002686366689053056;0.0;0.0;0.0;0.6725740488288512
45;2.0648350715637207;147;500;0.2578979537227883;0.1791666666666664;0.1374122630269516;0.4013605442176871;0.013605442176870748;0.0;0.006802721088435374;0.013605442176870748;0.564625850340136;0.08819133034379671;0.0014947683109118087;0.0;0.0;0.0;0.9103139013452914;0.14460784313725492;0.0026936026936026937;0.0;0.0;0.0;0.6969596690796277
50;2.2365338802337646;155;500;0.2682892138853899;0.1791666666666664;0.14409087761751538;0.4258064516129032;0.0064516129032258064;0.0;0.0064516129032258064;0.0064516129032258064;0.5548387096774193;0.09865470852017937;0.0;0.0;0.0;0.0;0.9013452914798207;0.16019417475728157;0.0;0.0;0.0;0.0;0.6868654759303041
60;2.0854499340057373;149;500;0.29150145149730033;0.17499999999999974;0.1511637582415655;0.4429530201342282;0.0;0.0;0.0;0.0;0.5570469798657718;0.09865470852017937;0.0;0.0;0.0;0.0;0.9013452914798207;0.16136919315403422;0.0;0.0;0.0;0.0;0.6885550373519337
70;2.152395009994507;173;500;0.2898584718726603;0.20312499999999964;0.17299097254846016;0.5202312138728323;0.005780346820809248;0.005780346820809248;0.011560693641618497;0.011560693641618497;0.44508670520231214;0.13452914798206278;0.0;0.0;0.0;0.0;0.8654708520179372;0.21377672209026125;0.0;0.0;0.0;0.0;0.5878560126582278
80;2.154520034790039;205;500;0.33246138673509973;0.2499999999999995;0.20373085865307722;0.5121951219512195;0.004878048780487805;0.004878048780487805;0.01951219512195122;0.014634146341463415;0.44390243902439025;0.15695067264573992;0.0;0.0;0.0014947683109118087;0.0;0.8415545590433483;0.2402745995423341;0.0;0.0;0.0027768136063866717;0.0;0.5812222764246089
90;2.171830177307129;282;500;0.41318556992016237;0.297916666666666;0.2614360534317842;0.4858156028368794;0.0070921985815602835;0.0070921985815602835;0.031914893617021274;0.028368794326241134;0.4397163120567376;0.20478325859491778;0.0029895366218236174;0.0;0.004484304932735426;0.004484304932735426;0.7832585949177877;0.288117770767613;0.004206098843322818;0.0;0.007863695937090433;0.007744433688286543;0.5632357275359303
100;2.080660820007324;290;500;0.41938872247748143;0.301041666666666;0.2643426086820894;0.4862068965517241;0.006896551724137931;0.010344827586206896;0.03793103448275862;0.03103448275862069;0.42758620689655175;0.21076233183856502;0.0029895366218236174;0.0;0.004484304932735426;0.0029895366218236174;0.7787742899850523;0.29405630865484883;0.004171011470281543;0.0;0.008020415603353993;0.005453719133464627;0.5520624150807961
150;2.10164213180542;308;500;0.41766572268529273;0.326041666666666;0.27390703139749917;0.4935064935064935;0.00974025974025974;0.012987012987012988;0.03896103896103896;0.03571428571428571;0.4090909090909091;0.22720478325859492;0.0029895366218236174;0.0;0.004484304932735426;0.0029895366218236174;0.7623318385650224;0.31115660184237465;0.004574914220358368;0.0;0.00804289544235925;0.005517241379310345;0.5324517139377066
200;2.072448968887329;308;500;0.41766572268529273;0.326041666666666;0.27390703139749917;0.4935064935064935;0.00974025974025974;0.012987012987012988;0.03896103896103896;0.03571428571428571;0.4090909090909091;0.22720478325859492;0.0029895366218236174;0.0;0.004484304932735426;0.0029895366218236174;0.7623318385650224;0.31115660184237465;0.004574914220358368;0.0;0.00804289544235925;0.005517241379310345;0.5324517139377066
250;2.1064321994781494;308;500;0.41766572268529273;0.326041666666666;0.27390703139749917;0.4935064935064935;0.00974025974025974;0.012987012987012988;0.03896103896103896;0.03571428571428571;0.4090909090909091;0.22720478325859492;0.0029895366218236174;0.0;0.004484304932735426;0.0029895366218236174;0.7623318385650224;0.31115660184237465;0.004574914220358368;0.0;0.00804289544235925;0.005517241379310345;0.5324517139377066
300;2.0970568656921387;308;500;0.41766572268529273;0.326041666666666;0.27390703139749917;0.4935064935064935;0.00974025974025974;0.012987012987012988;0.03896103896103896;0.03571428571428571;0.4090909090909091;0.22720478325859492;0.0029895366218236174;0.0;0.004484304932735426;0.0029895366218236174;0.7623318385650224;0.31115660184237465;0.004574914220358368;0.0;0.00804289544235925;0.005517241379310345;0.5324517139377066
350;2.1455111503601074;308;500;0.41766572268529273;0.326041666666666;0.27390703139749917;0.4935064935064935;0.00974025974025974;0.012987012987012988;0.03896103896103896;0.03571428571428571;0.4090909090909091;0.22720478325859492;0.0029895366218236174;0.0;0.004484304932735426;0.0029895366218236174;0.7623318385650224;0.31115660184237465;0.004574914220358368;0.0;0.00804289544235925;0.005517241379310345;0.5324517139377066
400;2.2037839889526367;308;500;0.41766572268529273;0.326041666666666;0.27390703139749917;0.4935064935064935;0.00974025974025974;0.012987012987012988;0.03896103896103896;0.03571428571428571;0.4090909090909091;0.22720478325859492;0.0029895366218236174;0.0;0.004484304932735426;0.0029895366218236174;0.7623318385650224;0.31115660184237465;0.004574914220358368;0.0;0.00804289544235925;0.005517241379310345;0.5324517139377066
450;2.156712055206299;308;500;0.41766572268529273;0.326041666666666;0.27390703139749917;0.4935064935064935;0.00974025974025974;0.012987012987012988;0.03896103896103896;0.03571428571428571;0.4090909090909091;0.22720478325859492;0.0029895366218236174;0.0;0.004484304932735426;0.0029895366218236174;0.7623318385650224;0.31115660184237465;0.004574914220358368;0.0;0.00804289544235925;0.005517241379310345;0.5324517139377066
500;3.3351399898529053;308;500;0.41766572268529273;0.326041666666666;0.27390703139749917;0.4935064935064935;0.00974025974025974;0.012987012987012988;0.03896103896103896;0.03571428571428571;0.4090909090909091;0.22720478325859492;0.0029895366218236174;0.0;0.004484304932735426;0.0029895366218236174;0.7623318385650224;0.31115660184237465;0.004574914220358368;0.0;0.00804289544235925;0.005517241379310345;0.5324517139377066
600;2.27628493309021;308;500;0.41766572268529273;0.326041666666666;0.27390703139749917;0.4935064935064935;0.00974025974025974;0.012987012987012988;0.03896103896103896;0.03571428571428571;0.4090909090909091;0.22720478325859492;0.0029895366218236174;0.0;0.004484304932735426;0.0029895366218236174;0.7623318385650224;0.31115660184237465;0.004574914220358368;0.0;0.00804289544235925;0.005517241379310345;0.5324517139377066
700;2.3105061054229736;308;500;0.41766572268529273;0.326041666666666;0.27390703139749917;0.4935064935064935;0.00974025974025974;0.012987012987012988;0.03896103896103896;0.03571428571428571;0.4090909090909091;0.22720478325859492;0.0029895366218236174;0.0;0.004484304932735426;0.0029895366218236174;0.7623318385650224;0.31115660184237465;0.004574914220358368;0.0;0.00804289544235925;0.005517241379310345;0.5324517139377066
800;2.375791072845459;308;500;0.41766572268529273;0.326041666666666;0.27390703139749917;0.4935064935064935;0.00974025974025974;0.012987012987012988;0.03896103896103896;0.03571428571428571;0.4090909090909091;0.22720478325859492;0.0029895366218236174;0.0;0.004484304932735426;0.0029895366218236174;0.7623318385650224;0.31115660184237465;0.004574914220358368;0.0;0.00804289544235925;0.005517241379310345;0.5324517139377066
900;2.448992967605591;308;500;0.41766572268529273;0.326041666666666;0.27390703139749917;0.4935064935064935;0.00974025974025974;0.012987012987012988;0.03896103896103896;0.03571428571428571;0.4090909090909091;0.22720478325859492;0.0029895366218236174;0.0;0.004484304932735426;0.0029895366218236174;0.7623318385650224;0.31115660184237465;0.004574914220358368;0.0;0.00804289544235925;0.005517241379310345;0.5324517139377066
1000;1.9175100326538086;308;500;0.41766572268529273;0.326041666666666;0.27390703139749917;0.4935064935064935;0.00974025974025974;0.012987012987012988;0.03896103896103896;0.03571428571428571;0.4090909090909091;0.22720478325859492;0.0029895366218236174;0.0;0.004484304932735426;0.0029895366218236174;0.7623318385650224;0.31115660184237465;0.004574914220358368;0.0;0.00804289544235925;0.005517241379310345;0.5324517139377066
