Similarity Method;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Precision 0;Precision 1;Precision 2;Precision 3;Precision 4;Precision 5;Recall 0;Recall 1;Recall 2;Recall 3;Recall 4;Recall 5;F-Measure 0;F-Measure 1;F-Measure 2;F-Measure 3;F-Measure 4;F-Measure 5
Etzioni;1.850304126739502;189;500;0.3060703670874088;0.2760416666666662;0.22802295451963975;0.31216931216931215;0.037037037037037035;0.015873015873015872;0.031746031746031744;0.042328042328042326;0.5608465608465608;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.1375291375291375;0.014440433212996389;0.01016260162601626;0.007858546168958742;0.028007001750437608;0.6820111435394003
Jaccard;2.24735689163208;189;500;0.3060703670874088;0.2760416666666662;0.22802295451963975;0.31216931216931215;0.037037037037037035;0.015873015873015872;0.031746031746031744;0.042328042328042326;0.5608465608465608;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.1375291375291375;0.014440433212996389;0.01016260162601626;0.007858546168958742;0.028007001750437608;0.6820111435394003
Cosine;2.1393699645996094;215;500;0.3060703670874088;0.2760416666666662;0.22882156563075087;0.31627906976744186;0.037209302325581395;0.013953488372093023;0.03255813953488372;0.037209302325581395;0.5627906976744186;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.1379239218247761;0.014453477868112016;0.009733939000648928;0.007882882882882884;0.026787849796699355;0.6834466393955715
Amendment;2.2268221378326416;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
