Max Limit;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Precision 0;Ground Truth 1;Ground Truth 2;Ground Truth 3;Ground Truth 4;Ground Truth 5;Ground Truth Rep 0;Ground Truth Rep 1;Ground Truth Rep 2;Ground Truth Rep 3;Ground Truth Rep 4;Ground Truth Rep 5;fMeasure 0;fMeasure 1;fMeasure 2;fMeasure 3;fMeasure 4;fMeasure 5
3;1.7490031719207764;206;500;0.3561393140214826;0.3093749999999994;0.25611118375314623;0.38349514563106796;0.03398058252427184;0.014563106796116505;0.02912621359223301;0.038834951456310676;0.5;0.11808669656203288;0.008968609865470852;0.007473841554559043;0.01195814648729447;0.02242152466367713;0.8310911808669657;0.18057142857142855;0.01419158641662443;0.009878169245966413;0.016955139526669022;0.028429282160625444;0.6243683323975295
4;1.8046619892120361;215;500;0.36795831832508197;0.31249999999999933;0.26485853555700495;0.4046511627906977;0.03255813953488372;0.013953488372093023;0.027906976744186046;0.037209302325581395;0.48372093023255813;0.13004484304932734;0.007473841554559043;0.007473841554559043;0.01046337817638266;0.017937219730941704;0.8266068759342302;0.19683257918552036;0.012156998957971517;0.009733939000648928;0.015220148577640877;0.024205748865355523;0.6103007889807981
5;1.833873987197876;209;500;0.3595292825425047;0.2968749999999994;0.25606213373299175;0.3588516746411483;0.03349282296650718;0.014354066985645933;0.028708133971291867;0.03827751196172249;0.5263157894736842;0.11210762331838565;0.01046337817638266;0.007473841554559043;0.005979073243647235;0.01943198804185351;0.8445440956651719;0.17084282460136677;0.015945330296127564;0.00982961992136304;0.009896907216494846;0.025777667616805056;0.648493543758967
6;1.7923707962036133;189;500;0.30607036708740865;0.27604166666666613;0.2280229545196398;0.31216931216931215;0.037037037037037035;0.015873015873015872;0.031746031746031744;0.042328042328042326;0.5608465608465608;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.1375291375291375;0.014440433212996389;0.01016260162601626;0.007858546168958742;0.028007001750437608;0.6820111435394003
7;1.8694920539855957;189;500;0.30607036708740865;0.27604166666666613;0.2280229545196398;0.31216931216931215;0.037037037037037035;0.015873015873015872;0.031746031746031744;0.042328042328042326;0.5608465608465608;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.1375291375291375;0.014440433212996389;0.01016260162601626;0.007858546168958742;0.028007001750437608;0.6820111435394003
8;1.8620719909667969;226;500;0.3442004097934388;0.2802083333333328;0.2402948039031619;0.29646017699115046;0.030973451327433628;0.01327433628318584;0.02654867256637168;0.030973451327433628;0.6017699115044248;0.10014947683109118;0.007473841554559043;0.004484304932735426;0.004484304932735426;0.01943198804185351;0.8639760837070254;0.14972067039106146;0.012041974883880957;0.0067039106145251395;0.007672634271099744;0.023881380396273452;0.7094200675053697
9;1.8647940158843994;215;500;0.32837177341630824;0.2635416666666662;0.22646536587732374;0.2837209302325581;0.027906976744186046;0.013953488372093023;0.027906976744186046;0.03255813953488372;0.6139534883720931;0.09118086696562033;0.007473841554559043;0.004484304932735426;0.005979073243647235;0.01943198804185351;0.8714499252615845;0.13800904977375567;0.011790135586559242;0.006787330316742082;0.009848173984407058;0.024338058304359454;0.7203830510219843
10;1.880316972732544;187;500;0.30479507953137386;0.2458333333333329;0.20470018085068759;0.25668449197860965;0.03208556149732621;0.0106951871657754;0.026737967914438502;0.0374331550802139;0.6363636363636364;0.07174887892376682;0.008968609865470852;0.0014947683109118087;0.005979073243647235;0.01943198804185351;0.8923766816143498;0.11214953271028037;0.014018691588785047;0.002622950819672131;0.009772782799902274;0.025583356761315713;0.7429333333333333
11;1.8794679641723633;174;500;0.2916711457563359;0.24479166666666624;0.19665971325662016;0.25287356321839083;0.034482758620689655;0.011494252873563218;0.028735632183908046;0.040229885057471264;0.632183908045977;0.06576980568011959;0.008968609865470852;0.0014947683109118087;0.005979073243647235;0.01943198804185351;0.898355754857997;0.1043890865954923;0.014234875444839857;0.002645502645502646;0.00989853996535511;0.02620590352771778;0.7421252329314565
12;2.021799087524414;160;500;0.28508839112670636;0.24166666666666625;0.19041125107065798;0.24375;0.0375;0.00625;0.03125;0.04375;0.6375;0.05829596412556054;0.008968609865470852;0.0029895366218236174;0.005979073243647235;0.02092675635276532;0.9028400597907325;0.09408926417370327;0.014475271411338963;0.004044489383215369;0.010037641154328732;0.028311425682507583;0.7473161974308277
13;1.7509779930114746;155;500;0.2824263540896693;0.24166666666666625;0.1887098621817691;0.23870967741935484;0.03870967741935484;0.0064516129032258064;0.03225806451612903;0.04516129032258064;0.6387096774193548;0.05530642750373692;0.008968609865470852;0.0029895366218236174;0.008968609865470852;0.02092675635276532;0.9028400597907325;0.08980582524271843;0.014563106796116507;0.0040858018386108275;0.014035087719298244;0.028600612870275793;0.7481467116252009
14;1.9455430507659912;151;500;0.27982218742300263;0.2406249999999996;0.18735569551510245;0.23841059602649006;0.039735099337748346;0.006622516556291391;0.033112582781456956;0.046357615894039736;0.6357615894039735;0.053811659192825115;0.008968609865470852;0.0029895366218236174;0.008968609865470852;0.02092675635276532;0.9043348281016442;0.0878048780487805;0.014634146341463415;0.00411946446961895;0.014114326040931545;0.028836251287332648;0.7466303292860862
15;2.0383541584014893;150;500;0.2654442531507023;0.2406249999999996;0.18575438832555996;0.24;0.04;0.006666666666666667;0.03333333333333333;0.04666666666666667;0.6333333333333333;0.053811659192825115;0.008968609865470852;0.0029895366218236174;0.008968609865470852;0.02092675635276532;0.9043348281016442;0.08791208791208792;0.014652014652014652;0.00412796697626419;0.014134275618374558;0.028895768833849325;0.7449531771491527
16;1.8575870990753174;148;500;0.2654442531507023;0.2406249999999996;0.18575438832555996;0.24324324324324326;0.04054054054054054;0.006756756756756757;0.033783783783783786;0.0472972972972973;0.6283783783783784;0.053811659192825115;0.008968609865470852;0.0029895366218236174;0.008968609865470852;0.02092675635276532;0.9043348281016442;0.08812729498164015;0.014687882496940025;0.0041450777202072546;0.01417434443656981;0.029015544041450778;0.741514394723143
17;2.2949960231781006;146;500;0.26440258648403564;0.23854166666666626;0.1844002216588933;0.2465753424657534;0.0410958904109589;0.00684931506849315;0.0273972602739726;0.04794520547945205;0.6301369863013698;0.053811659192825115;0.008968609865470852;0.0029895366218236174;0.007473841554559043;0.02092675635276532;0.905829596412556;0.08834355828220859;0.014723926380368098;0.004162330905306972;0.011743981209630062;0.0291363163371488;0.7432410814269717
18;2.0146749019622803;146;500;0.26440258648403564;0.23854166666666626;0.1844002216588933;0.2465753424657534;0.0410958904109589;0.00684931506849315;0.0273972602739726;0.04794520547945205;0.6301369863013698;0.053811659192825115;0.008968609865470852;0.0029895366218236174;0.007473841554559043;0.02092675635276532;0.905829596412556;0.08834355828220859;0.014723926380368098;0.004162330905306972;0.011743981209630062;0.0291363163371488;0.7432410814269717
19;2.1173770427703857;146;500;0.26440258648403564;0.23854166666666626;0.1844002216588933;0.2465753424657534;0.0410958904109589;0.00684931506849315;0.0273972602739726;0.04794520547945205;0.6301369863013698;0.053811659192825115;0.008968609865470852;0.0029895366218236174;0.007473841554559043;0.02092675635276532;0.905829596412556;0.08834355828220859;0.014723926380368098;0.004162330905306972;0.011743981209630062;0.0291363163371488;0.7432410814269717
20;2.204007863998413;145;500;0.26283302912179535;0.23854166666666626;0.18283045421703287;0.2482758620689655;0.041379310344827586;0.006896551724137931;0.020689655172413793;0.04827586206896552;0.6344827586206897;0.053811659192825115;0.008968609865470852;0.0029895366218236174;0.007473841554559043;0.02092675635276532;0.905829596412556;0.08845208845208846;0.014742014742014743;0.004171011470281543;0.010980966325036604;0.029197080291970802;0.7462554712283661
21;2.3608078956604004;145;500;0.26283302912179535;0.23854166666666626;0.18283045421703287;0.2482758620689655;0.041379310344827586;0.006896551724137931;0.020689655172413793;0.04827586206896552;0.6344827586206897;0.053811659192825115;0.008968609865470852;0.0029895366218236174;0.007473841554559043;0.02092675635276532;0.905829596412556;0.08845208845208846;0.014742014742014743;0.004171011470281543;0.010980966325036604;0.029197080291970802;0.7462554712283661
22;1.901792049407959;145;500;0.26283302912179535;0.23854166666666626;0.18283045421703287;0.2482758620689655;0.041379310344827586;0.006896551724137931;0.020689655172413793;0.04827586206896552;0.6344827586206897;0.053811659192825115;0.008968609865470852;0.0029895366218236174;0.007473841554559043;0.02092675635276532;0.905829596412556;0.08845208845208846;0.014742014742014743;0.004171011470281543;0.010980966325036604;0.029197080291970802;0.7462554712283661
23;2.0149779319763184;145;500;0.26283302912179535;0.23854166666666626;0.18283045421703287;0.2482758620689655;0.041379310344827586;0.006896551724137931;0.020689655172413793;0.04827586206896552;0.6344827586206897;0.053811659192825115;0.008968609865470852;0.0029895366218236174;0.007473841554559043;0.02092675635276532;0.905829596412556;0.08845208845208846;0.014742014742014743;0.004171011470281543;0.010980966325036604;0.029197080291970802;0.7462554712283661
24;1.9913489818572998;145;500;0.26283302912179535;0.23854166666666626;0.18283045421703287;0.2482758620689655;0.041379310344827586;0.006896551724137931;0.020689655172413793;0.04827586206896552;0.6344827586206897;0.053811659192825115;0.008968609865470852;0.0029895366218236174;0.007473841554559043;0.02092675635276532;0.905829596412556;0.08845208845208846;0.014742014742014743;0.004171011470281543;0.010980966325036604;0.029197080291970802;0.7462554712283661
25;2.1907989978790283;145;500;0.26283302912179535;0.23854166666666626;0.18283045421703287;0.2482758620689655;0.041379310344827586;0.006896551724137931;0.020689655172413793;0.04827586206896552;0.6344827586206897;0.053811659192825115;0.008968609865470852;0.0029895366218236174;0.007473841554559043;0.02092675635276532;0.905829596412556;0.08845208845208846;0.014742014742014743;0.004171011470281543;0.010980966325036604;0.029197080291970802;0.7462554712283661
26;2.258852958679199;145;500;0.26283302912179535;0.23854166666666626;0.18283045421703287;0.2482758620689655;0.041379310344827586;0.006896551724137931;0.020689655172413793;0.04827586206896552;0.6344827586206897;0.053811659192825115;0.008968609865470852;0.0029895366218236174;0.007473841554559043;0.02092675635276532;0.905829596412556;0.08845208845208846;0.014742014742014743;0.004171011470281543;0.010980966325036604;0.029197080291970802;0.7462554712283661
27;1.8143391609191895;145;500;0.26283302912179535;0.23854166666666626;0.18283045421703287;0.2482758620689655;0.041379310344827586;0.006896551724137931;0.020689655172413793;0.04827586206896552;0.6344827586206897;0.053811659192825115;0.008968609865470852;0.0029895366218236174;0.007473841554559043;0.02092675635276532;0.905829596412556;0.08845208845208846;0.014742014742014743;0.004171011470281543;0.010980966325036604;0.029197080291970802;0.7462554712283661
28;2.088533878326416;145;500;0.26283302912179535;0.23854166666666626;0.18283045421703287;0.2482758620689655;0.041379310344827586;0.006896551724137931;0.020689655172413793;0.04827586206896552;0.6344827586206897;0.053811659192825115;0.008968609865470852;0.0029895366218236174;0.007473841554559043;0.02092675635276532;0.905829596412556;0.08845208845208846;0.014742014742014743;0.004171011470281543;0.010980966325036604;0.029197080291970802;0.7462554712283661
29;2.352936029434204;145;500;0.26283302912179535;0.23854166666666626;0.18283045421703287;0.2482758620689655;0.041379310344827586;0.006896551724137931;0.020689655172413793;0.04827586206896552;0.6344827586206897;0.053811659192825115;0.008968609865470852;0.0029895366218236174;0.007473841554559043;0.02092675635276532;0.905829596412556;0.08845208845208846;0.014742014742014743;0.004171011470281543;0.010980966325036604;0.029197080291970802;0.7462554712283661
30;2.127094030380249;145;500;0.26283302912179535;0.23854166666666626;0.18283045421703287;0.2482758620689655;0.041379310344827586;0.006896551724137931;0.020689655172413793;0.04827586206896552;0.6344827586206897;0.053811659192825115;0.008968609865470852;0.0029895366218236174;0.007473841554559043;0.02092675635276532;0.905829596412556;0.08845208845208846;0.014742014742014743;0.004171011470281543;0.010980966325036604;0.029197080291970802;0.7462554712283661
