Min Limit;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Precision 0;Precision 1;Precision 2;Precision 3;Precision 4;Precision 5;Recall 0;Recall 1;Recall 2;Recall 3;Recall 4;Recall 5;F-Measure 0;F-Measure 1;F-Measure 2;F-Measure 3;F-Measure 4;F-Measure 5
0;1.885951042175293;305;500;0.2531921107720096;0.9145833333333467;0.2586698693276188;0.04590163934426229;0.01639344262295082;0.006557377049180328;0.009836065573770493;0.05901639344262295;0.8622950819672132;0.02092675635276532;0.013452914798206279;0.007473841554559043;0.01943198804185351;0.13452914798206278;0.804185351270553;0.028747433264887063;0.01477832512315271;0.006985679357317499;0.013060951105157401;0.0820419325432999;0.8322270811705785
1;1.9903779029846191;169;500;0.2746794741584837;0.4958333333333321;0.23237635243723215;0.17159763313609466;0.047337278106508875;0.023668639053254437;0.01775147928994083;0.11242603550295859;0.6272189349112426;0.043348281016442454;0.013452914798206279;0.01046337817638266;0.0029895366218236174;0.08370702541106129;0.8460388639760837;0.06921241050119332;0.020951549541684853;0.01451153148484063;0.0051172707889125795;0.09596392333709132;0.720378464050718
2;1.7978320121765137;145;500;0.26283302912179546;0.2385416666666663;0.18283045421703287;0.2482758620689655;0.041379310344827586;0.006896551724137931;0.020689655172413793;0.04827586206896552;0.6344827586206897;0.053811659192825115;0.008968609865470852;0.0029895366218236174;0.007473841554559043;0.02092675635276532;0.905829596412556;0.08845208845208846;0.014742014742014743;0.004171011470281543;0.010980966325036604;0.029197080291970802;0.7462554712283661
3;1.7813549041748047;130;500;0.26449652777777766;0.13124999999999998;0.14819113361054143;0.2923076923076923;0.03076923076923077;0.0;0.015384615384615385;0.007692307692307693;0.6538461538461539;0.05680119581464873;0.005979073243647235;0.0;0.0014947683109118087;0.0;0.9357249626307922;0.0951188986232791;0.010012515644555695;0.0;0.002724795640326976;0.0;0.7697927592317986
4;2.097257137298584;135;500;0.2707465277777776;0.128125;0.15028676093643187;0.3111111111111111;0.022222222222222223;0.0;0.014814814814814815;0.0;0.6518518518518519;0.06278026905829596;0.004484304932735426;0.0;0.0014947683109118087;0.0;0.9312406576980568;0.1044776119402985;0.00746268656716418;0.0;0.0027155465037338768;0.0;0.7668925771277898
5;1.849402904510498;140;500;0.26770833333333316;0.11874999999999998;0.1427669196665906;0.3142857142857143;0.02142857142857143;0.0;0.0;0.0;0.6642857142857143;0.06576980568011959;0.0029895366218236174;0.0;0.0;0.0;0.9312406576980568;0.10877626699629173;0.00524704853519895;0.0;0.0;0.0;0.7754304489517322
6;1.8589069843292236;135;500;0.26041666666666646;0.10833333333333331;0.13264539188881283;0.32592592592592595;0.007407407407407408;0.0;0.0;0.0;0.6666666666666666;0.06576980568011959;0.0;0.0;0.0;0.0;0.9342301943198804;0.10945273631840798;0.0;0.0;0.0;0.0;0.7780890133831311
7;1.8789288997650146;135;500;0.2562499999999998;0.10833333333333331;0.1318467807777017;0.35555555555555557;0.0;0.0;0.0;0.0;0.6444444444444445;0.07174887892376682;0.0;0.0;0.0;0.0;0.9282511210762332;0.11940298507462688;0.0;0.0;0.0;0.0;0.7607400836395893
8;1.9479410648345947;149;500;0.2677083333333331;0.11666666666666661;0.1397783283967493;0.40268456375838924;0.006711409395973154;0.0;0.006711409395973154;0.006711409395973154;0.5771812080536913;0.08968609865470852;0.0;0.0;0.0;0.0;0.9103139013452914;0.14669926650366746;0.0;0.0;0.0;0.0;0.7064441072331817
9;1.8757579326629639;226;500;0.35281509088010143;0.26249999999999946;0.21153941421666297;0.4469026548672566;0.004424778761061947;0.004424778761061947;0.017699115044247787;0.02654867256637168;0.5;0.15097159940209268;0.0;0.0;0.0014947683109118087;0.005979073243647235;0.8415545590433483;0.2256983240223464;0.0;0.0;0.0027567195037904897;0.009760065067100447;0.6272980501392758
