Min intersect limit;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Precision 0;Precision 1;Precision 2;Precision 3;Precision 4;Precision 5;Recall 0;Recall 1;Recall 2;Recall 3;Recall 4;Recall 5;F-Measure 0;F-Measure 1;F-Measure 2;F-Measure 3;F-Measure 4;F-Measure 5
0;2.2552149295806885;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
1;2.1800498962402344;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
2;2.0945630073547363;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
3;2.0777170658111572;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
4;2.0103330612182617;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
5;2.278337001800537;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
6;2.187252998352051;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
7;2.433290958404541;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
8;2.1681129932403564;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
9;2.3142240047454834;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
10;2.128404140472412;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
11;2.2638230323791504;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
12;2.2879810333251953;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
13;2.1602561473846436;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
14;2.004401922225952;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
15;2.18778920173645;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
16;2.1959609985351562;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
17;2.0592801570892334;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
18;2.3905351161956787;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
19;2.268401861190796;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
20;2.4506938457489014;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
21;2.3415238857269287;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
22;2.320052146911621;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
23;2.6361300945281982;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
24;2.5305089950561523;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
25;2.0736591815948486;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
27;2.173693895339966;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
29;2.3655900955200195;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
31;2.082005023956299;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
33;2.257882833480835;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
35;2.3668129444122314;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
37;1.9441959857940674;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
39;1.9548578262329102;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
41;2.258265972137451;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
43;2.204608917236328;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
45;2.2362568378448486;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
47;2.4483230113983154;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
49;2.2527949810028076;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
51;2.3067989349365234;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
55;2.1587491035461426;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
60;2.401068925857544;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
65;2.178508996963501;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
70;2.3381600379943848;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
75;2.402221918106079;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
80;2.202925205230713;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
85;2.3789350986480713;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
90;2.2922840118408203;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
95;2.2173919677734375;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
100;2.342393159866333;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
110;2.144968032836914;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
120;2.1771109104156494;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
130;2.342402935028076;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
140;2.167933940887451;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
150;2.5948829650878906;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
160;2.492014169692993;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
170;2.3448758125305176;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
180;2.1796610355377197;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
190;2.210742950439453;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
200;2.0021262168884277;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
220;2.2143149375915527;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
240;2.1843650341033936;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
260;2.1330389976501465;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
280;1.8918070793151855;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
