Threshold;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Ground Truth 0;Ground Truth 1;Ground Truth 2;Ground Truth 3;Ground Truth 4;Ground Truth 5;Ground Truth Rep 0;Ground Truth Rep 1;Ground Truth Rep 2;Ground Truth Rep 3;Ground Truth Rep 4;Ground Truth Rep 5;fMeasure 0;fMeasure 1;fMeasure 2;fMeasure 3;fMeasure 4;fMeasure 5
0.0;8.073665857315063;6;5000;0.02128167380442491;0.9760416666666799;0.01208548017053913;0.5;0.0;0.0;0.0;0.0;0.5;0.004484304932735426;0.0;0.0;0.0;0.0;0.9955156950672646;0.008888888888888889;0.0;0.0;0.0;0.0;0.6656671664167916
0.05;13.908769845962524;321;5000;0.4501937245935996;0.9760416666666799;0.3176898963158883;0.4672897196261682;0.003115264797507788;0.003115264797507788;0.01557632398753894;0.024922118380062305;0.48598130841121495;0.21375186846038863;0.0014947683109118087;0.0014947683109118087;0.014947683109118086;0.01195814648729447;0.7563527653213752;0.2933273163627413;0.00202020202020202;0.00202020202020202;0.015255530129672004;0.01616161616161616;0.5917463173282357
0.1;18.320170879364014;354;5000;0.49254763007086155;0.9750000000000133;0.3645968124211802;0.4887005649717514;0.002824858757062147;0.00847457627118644;0.011299435028248588;0.031073446327683617;0.4576271186440678;0.24663677130044842;0.0014947683109118087;0.007473841554559043;0.008968609865470852;0.02092675635276532;0.7144992526158446;0.3278264914124275;0.0019550342130987292;0.007942811755361396;0.01;0.02501015022330491;0.5579163514535826
0.15000000000000002;20.034196853637695;326;5000;0.4653381105751034;0.9697916666666799;0.34938553300412284;0.48466257668711654;0.003067484662576687;0.009202453987730062;0.02147239263803681;0.024539877300613498;0.4570552147239264;0.2257100149476831;0.0014947683109118087;0.008968609865470852;0.014947683109118086;0.01943198804185351;0.7294469357249627;0.3079882267892182;0.0020100502512562816;0.009084027252081756;0.017625582273700112;0.02168925964546402;0.5619838543256728
0.2;19.411648988723755;319;5000;0.4539751619869787;0.9406250000000124;0.3461055446765096;0.5015673981191222;0.006269592476489028;0.003134796238244514;0.01567398119122257;0.025078369905956112;0.4482758620689655;0.2257100149476831;0.004484304932735426;0.0029895366218236174;0.01046337817638266;0.026905829596412557;0.7294469357249627;0.3113221527102165;0.00522875816993464;0.00306044376434583;0.01254930082466834;0.025959978366684695;0.5552978248501028
0.25;20.422234058380127;410;5000;0.5438720032291676;0.9041666666666783;0.42778501443237843;0.45121951219512196;0.004878048780487805;0.007317073170731708;0.024390243902439025;0.05853658536585366;0.45365853658536587;0.26756352765321373;0.004484304932735426;0.01046337817638266;0.025411061285500747;0.0687593423019432;0.6233183856502242;0.3359285841089498;0.004672897196261682;0.008611851548082838;0.024890190336749635;0.06323748424790926;0.52512491367754
0.30000000000000004;19.144866943359375;412;5000;0.5438805324770833;0.8906250000000113;0.4341130245323219;0.45145631067961167;0.0048543689320388345;0.009708737864077669;0.024271844660194174;0.06553398058252427;0.4441747572815534;0.26905829596412556;0.004484304932735426;0.013452914798206279;0.025411061285500747;0.08669656203288491;0.600896860986547;0.33717030726003805;0.004662004662004662;0.011278195488721806;0.024828391996494815;0.07464429562191663;0.5107845485695242
0.35000000000000003;23.878995895385742;589;5000;0.6728771165912448;0.81875000000001;0.5686607091402371;0.40407470288624786;0.006791171477079796;0.02037351443123939;0.03904923599320883;0.0865874363327674;0.4431239388794567;0.34678624813153963;0.007473841554559043;0.029895366218236172;0.053811659192825115;0.13602391629297458;0.4260089686098655;0.37324500625274615;0.007116171499733143;0.024232633279483037;0.04525703041731574;0.105816366082218;0.43439793969761215
0.4;25.985849142074585;601;5000;0.679320707297888;0.8145833333333431;0.5789961716653583;0.39767054908485855;0.0066555740432612314;0.019966722129783693;0.03993344425956739;0.09484193011647254;0.44093178036605657;0.3482810164424514;0.007473841554559043;0.029895366218236172;0.05829596412556054;0.14349775784753363;0.4125560538116592;0.37134073965404574;0.007041013906002464;0.023942537909018357;0.04739840486137486;0.11420342485051499;0.42627221624834993
0.45;19.61520290374756;601;5000;0.682038278323883;0.8125000000000097;0.5794380253455367;0.39933444259567386;0.0066555740432612314;0.019966722129783693;0.03993344425956739;0.09484193011647254;0.43926788685524126;0.34977578475336324;0.007473841554559043;0.029895366218236172;0.05829596412556054;0.14349775784753363;0.4110612855007474;0.3729157951353612;0.007041013906002464;0.023942537909018357;0.04739840486137486;0.11420342485051499;0.42469676007850454
