Max Limit;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Ground Truth 0;Ground Truth 1;Ground Truth 2;Ground Truth 3;Ground Truth 4;Ground Truth 5;Ground Truth Rep 0;Ground Truth Rep 1;Ground Truth Rep 2;Ground Truth Rep 3;Ground Truth Rep 4;Ground Truth Rep 5;fMeasure 0;fMeasure 1;fMeasure 2;fMeasure 3;fMeasure 4;fMeasure 5
9;23.896003007888794;4628;5000;0.9411458333333451;0.757291666666676;0.7824171209098477;0.5209593777009507;0.00648228176318064;0.0038893690579083835;0.013180639585133967;0.016637856525496975;0.4388504753673293;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6204187831677126;0.005301289980561937;0.005425772418990203;0.010674132726715952;0.0;0.2847639347343268
10;23.642153024673462;4628;5000;0.9411458333333451;0.757291666666676;0.7824171209098477;0.5209593777009507;0.00648228176318064;0.0038893690579083835;0.013180639585133967;0.016637856525496975;0.4388504753673293;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6204187831677126;0.005301289980561937;0.005425772418990203;0.010674132726715952;0.0;0.2847639347343268
11;28.028314113616943;4628;5000;0.9411458333333451;0.757291666666676;0.7824171209098477;0.5209593777009507;0.00648228176318064;0.0038893690579083835;0.013180639585133967;0.016637856525496975;0.4388504753673293;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6204187831677126;0.005301289980561937;0.005425772418990203;0.010674132726715952;0.0;0.2847639347343268
12;26.11430597305298;4628;5000;0.9411458333333451;0.757291666666676;0.7824171209098477;0.5209593777009507;0.00648228176318064;0.0038893690579083835;0.013180639585133967;0.016637856525496975;0.4388504753673293;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6204187831677126;0.005301289980561937;0.005425772418990203;0.010674132726715952;0.0;0.2847639347343268
13;24.502320051193237;4628;5000;0.9411458333333451;0.757291666666676;0.7824171209098477;0.5209593777009507;0.00648228176318064;0.0038893690579083835;0.013180639585133967;0.016637856525496975;0.4388504753673293;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6204187831677126;0.005301289980561937;0.005425772418990203;0.010674132726715952;0.0;0.2847639347343268
14;28.668370962142944;4628;5000;0.9411458333333451;0.757291666666676;0.7824171209098477;0.5209593777009507;0.00648228176318064;0.0038893690579083835;0.013180639585133967;0.016637856525496975;0.4388504753673293;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6204187831677126;0.005301289980561937;0.005425772418990203;0.010674132726715952;0.0;0.2847639347343268
15;27.679538011550903;4628;5000;0.9411458333333451;0.757291666666676;0.7824171209098477;0.5209593777009507;0.00648228176318064;0.0038893690579083835;0.013180639585133967;0.016637856525496975;0.4388504753673293;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6204187831677126;0.005301289980561937;0.005425772418990203;0.010674132726715952;0.0;0.2847639347343268
16;26.01570701599121;4628;5000;0.9411458333333451;0.757291666666676;0.7824171209098477;0.5209593777009507;0.00648228176318064;0.0038893690579083835;0.013180639585133967;0.016637856525496975;0.4388504753673293;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6204187831677126;0.005301289980561937;0.005425772418990203;0.010674132726715952;0.0;0.2847639347343268
17;29.320091009140015;4628;5000;0.9411458333333451;0.757291666666676;0.7824171209098477;0.5209593777009507;0.00648228176318064;0.0038893690579083835;0.013180639585133967;0.016637856525496975;0.4388504753673293;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6204187831677126;0.005301289980561937;0.005425772418990203;0.010674132726715952;0.0;0.2847639347343268
18;27.21749496459961;4628;5000;0.9411458333333451;0.757291666666676;0.7824171209098477;0.5209593777009507;0.00648228176318064;0.0038893690579083835;0.013180639585133967;0.016637856525496975;0.4388504753673293;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6204187831677126;0.005301289980561937;0.005425772418990203;0.010674132726715952;0.0;0.2847639347343268
