Cosine Threshold;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Ground Truth 0;Ground Truth 1;Ground Truth 2;Ground Truth 3;Ground Truth 4;Ground Truth 5;Ground Truth Rep 0;Ground Truth Rep 1;Ground Truth Rep 2;Ground Truth Rep 3;Ground Truth Rep 4;Ground Truth Rep 5;fMeasure 0;fMeasure 1;fMeasure 2;fMeasure 3;fMeasure 4;fMeasure 5
0.0;25.379020929336548;1897;5000;0.9527529761904883;0.7875000000000106;0.7910973489484903;0.48655772272008435;0.01107011070110701;0.009488666315234581;0.02635740643120717;0.04428044280442804;0.4222456510279389;0.7608370702541106;0.008968609865470852;0.01195814648729447;0.007473841554559043;0.014947683109118086;0.19581464872944693;0.5935428852980935;0.00990916597853014;0.010581233007568521;0.01164551065564225;0.022350530825107094;0.2675528063071792
0.05;27.237653017044067;2000;5000;0.9527529761904883;0.7875000000000106;0.7910973489484903;0.49;0.0105;0.009;0.025;0.042;0.4235;0.7608370702541106;0.008968609865470852;0.01195814648729447;0.007473841554559043;0.014947683109118086;0.19581464872944693;0.5960970829698498;0.009674075780260279;0.010270308822480565;0.011507479861910242;0.02204840149089191;0.26780410864509807
0.1;27.009608030319214;2061;5000;0.9527529761904883;0.7875000000000106;0.7919306822818236;0.49684619116933526;0.010189228529839884;0.008733624454148471;0.024260067928190198;0.040756914119359534;0.4192139737991266;0.7623318385650224;0.008968609865470852;0.01195814648729447;0.007473841554559043;0.013452914798206279;0.19581464872944693;0.601601459768248;0.009540034071550255;0.010094637223974762;0.011427265455376529;0.020228777844671884;0.26694119270241873
0.15000000000000002;26.223466157913208;2122;5000;0.9527529761904883;0.7875000000000106;0.7926251267262681;0.5014137606032045;0.010367577756833177;0.008482563619227144;0.0235626767200754;0.03958529688972667;0.41658812441093307;0.7638266068759342;0.01046337817638266;0.01195814648729447;0.007473841554559043;0.013452914798206279;0.19282511210762332;0.6054077647957473;0.010415257676180172;0.00992487421600386;0.011348161597821151;0.020081281377002155;0.2636262128178987
0.2;24.727410078048706;2185;5000;0.9527529761904883;0.7875000000000106;0.7930417933929347;0.5066361556064073;0.010068649885583524;0.008237986270022883;0.02288329519450801;0.037986270022883295;0.41418764302059496;0.7653213751868461;0.01046337817638266;0.01195814648729447;0.007473841554559043;0.01195814648729447;0.19282511210762332;0.6096736250089415;0.01026221970479459;0.00975543662353499;0.011267605633802818;0.018190036571835575;0.263143658924164
0.25;25.884000062942505;2251;5000;0.9527529761904883;0.7875000000000106;0.7934386187897602;0.5104398045313194;0.010217681030653044;0.007996446023989337;0.021768103065304308;0.037316748111950244;0.41226121723678366;0.7653213751868461;0.01046337817638266;0.01195814648729447;0.007473841554559043;0.01195814648729447;0.19282511210762332;0.6124194706101886;0.010339070125866942;0.009584026622296174;0.011127259514942318;0.018112231146568916;0.26275363225421994
0.30000000000000004;24.91083002090454;2320;5000;0.9527529761904883;0.7875000000000106;0.7945073417334831;0.5155172413793103;0.009913793103448277;0.007758620689655172;0.021551724137931036;0.03620689655172414;0.40905172413793106;0.7683109118086696;0.008968609865470852;0.01195814648729447;0.008968609865470852;0.01046337817638266;0.19133034379671152;0.6170257612651586;0.009417545296345583;0.009411149598065485;0.01266624445851805;0.01623502126014689;0.2607140059301962
0.35000000000000003;24.763617992401123;2386;5000;0.9527529761904883;0.7875000000000106;0.794785119511261;0.519279128248114;0.010058675607711651;0.0075440067057837385;0.020955574182732608;0.03436714165968147;0.4077954735959765;0.7683109118086696;0.008968609865470852;0.01195814648729447;0.008968609865470852;0.01046337817638266;0.19133034379671152;0.6197124986924017;0.00948241801659423;0.009251525859299711;0.01256123602562492;0.016042481833426495;0.2604583074099828
0.4;24.804821968078613;2451;5000;0.9527529761904883;0.7875000000000106;0.795073644643536;0.5193798449612403;0.009791921664626682;0.0073439412484700125;0.019991840065279477;0.03345573235414117;0.41003671970624234;0.7683109118086696;0.008968609865470852;0.01195814648729447;0.01046337817638266;0.008968609865470852;0.19133034379671152;0.6197842147414266;0.009362200117027502;0.00909952606635071;0.013737033922063357;0.014145247541831983;0.2609137457368775
0.45;881.7067198753357;2518;5000;0.9527529761904883;0.7875000000000106;0.7956986446435361;0.5202541699761716;0.009531374106433678;0.007148530579825258;0.019459888800635424;0.03216838760921366;0.4114376489277204;0.7698056801195815;0.008968609865470852;0.01195814648729447;0.01046337817638266;0.007473841554559043;0.19133034379671152;0.6208930773619982;0.009241432422025414;0.008947989809233827;0.013609220941535898;0.012129561688554783;0.2611967051018921
