Tree type;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Ground Truth 0;Ground Truth 1;Ground Truth 2;Ground Truth 3;Ground Truth 4;Ground Truth 5;Ground Truth Rep 0;Ground Truth Rep 1;Ground Truth Rep 2;Ground Truth Rep 3;Ground Truth Rep 4;Ground Truth Rep 5;fMeasure 0;fMeasure 1;fMeasure 2;fMeasure 3;fMeasure 4;fMeasure 5
Suffix;29.491642951965332;4394;5000;0.955400545634933;0.802083333333344;0.8129908789550657;0.5366408739189804;0.008192990441511151;0.007055075102412381;0.01729631315430132;0.025034137460172964;0.40578060992262177;0.7892376681614349;0.01046337817638266;0.004484304932735426;0.01046337817638266;0.007473841554559043;0.17787742899850523;0.638877813509773;0.009190036833084133;0.005483328911293888;0.01303889610548761;0.01151109250732524;0.24733390724439344
Midslice;28.31519603729248;4332;5000;0.954513888888901;0.7864583333333437;0.8027218298271027;0.5399353647276085;0.009233610341643583;0.00530932594644506;0.013388734995383195;0.02077562326869806;0.4113573407202216;0.7862481315396114;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.17937219730941703;0.6402178474760649;0.008261049153242463;0.00667005002537519;0.011746665509359721;0.010993037742762916;0.24981337595020553
Rangeslice 0.1-1.0;29.83105182647705;4880;5000;0.8543278769841359;0.6531250000000053;0.6788431880619431;0.5901639344262295;0.002663934426229508;0.003278688524590164;0.00860655737704918;0.011270491803278689;0.38401639344262295;0.6322869955156951;0.0029895366218236174;0.0029895366218236174;0.007473841554559043;0.01195814648729447;0.3423019431988042;0.6104997293884179;0.00281735926748659;0.0031274433150899144;0.00800030477351518;0.011604140568339158;0.3619612807889252
5-slice;27.33320188522339;2487;5000;0.8294517476489477;0.7364583333333408;0.704717072337367;0.6373140329714515;0.01407318053880177;0.007639726578206675;0.010454362685967028;0.013671089666264576;0.3168476075593084;0.6188340807174888;0.02092675635276532;0.01195814648729447;0.008968609865470852;0.025411061285500747;0.31390134529147984;0.6279381219847243;0.016828945786753216;0.009323151470543134;0.009654660230226514;0.017777777777777778;0.3153675953506721
