Tree type;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Ground Truth 0;Ground Truth 1;Ground Truth 2;Ground Truth 3;Ground Truth 4;Ground Truth 5;Ground Truth Rep 0;Ground Truth Rep 1;Ground Truth Rep 2;Ground Truth Rep 3;Ground Truth Rep 4;Ground Truth Rep 5;fMeasure 0;fMeasure 1;fMeasure 2;fMeasure 3;fMeasure 4;fMeasure 5
Suffix;2.2694170475006104;617;1100;0.6617737384143659;0.513541666666666;0.4957671137219104;0.42949756888168555;0.011345218800648298;0.011345218800648298;0.04376012965964344;0.06969205834683954;0.4343598055105348;0.3961136023916293;0.005979073243647235;0.0029895366218236174;0.016442451420029897;0.0343796711509716;0.5440956651718983;0.4121306376360809;0.007831072577261922;0.004732127767449721;0.023903420523138836;0.04604497416080823;0.4830741804496385
Midslice;2.2852890491485596;600;1100;0.6893912410394298;0.5093749999999991;0.5113939304482061;0.46;0.008333333333333333;0.013333333333333334;0.04;0.06;0.41833333333333333;0.4125560538116592;0.0029895366218236174;0.01195814648729447;0.017937219730941704;0.02242152466367713;0.5321375186846039;0.43498817966903075;0.0044004400440044;0.01260835303388495;0.024767801857585137;0.03264417845484222;0.4684222804106742
Rangeslice 0.1-1.0;6.084651947021484;327;1100;0.46018105158730094;0.28749999999999937;0.307067046622967;0.5168195718654435;0.0030581039755351682;0.009174311926605505;0.03058103975535168;0.03669724770642202;0.4036697247706422;0.2526158445440957;0.0;0.0;0.007473841554559043;0.008968609865470852;0.7309417040358744;0.33935742971887556;0.0;0.0;0.012012012012012012;0.014414414414414416;0.5201058776605388
5-slice;2.1291518211364746;116;1100;0.1942589597902097;0.21354166666666646;0.1357407878258816;0.5172413793103449;0.04310344827586207;0.008620689655172414;0.017241379310344827;0.06896551724137931;0.3448275862068966;0.08968609865470852;0.0029895366218236174;0.0;0.0029895366218236174;0.025411061285500747;0.8789237668161435;0.15286624203821655;0.005591277606933185;0.0;0.005095541401273886;0.03713817586018569;0.4953247409653778
