Article Text Amount;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Ground Truth 0;Ground Truth 1;Ground Truth 2;Ground Truth 3;Ground Truth 4;Ground Truth 5;Ground Truth Rep 0;Ground Truth Rep 1;Ground Truth Rep 2;Ground Truth Rep 3;Ground Truth Rep 4;Ground Truth Rep 5;fMeasure 0;fMeasure 1;fMeasure 2;fMeasure 3;fMeasure 4;fMeasure 5
0.0;9.03930115699768;68;500;0.17018952062430334;0.24270833333333308;0.1552452931064589;0.10294117647058823;0.1323529411764706;0.04411764705882353;0.08823529411764706;0.22058823529411764;0.4117647058823529;0.01046337817638266;0.026905829596412557;0.004484304932735426;0.017937219730941704;0.05530642750373692;0.8849028400597907;0.01899592944369064;0.04472049689440994;0.00814111261872456;0.029813664596273295;0.08843916819376942;0.5620126127347934
0.05;1.631814956665039;137;500;0.26187156593406574;0.1854166666666665;0.18332603564907896;0.24817518248175183;0.029197080291970802;0.0072992700729927005;0.051094890510948905;0.043795620437956206;0.6204379562043796;0.05082212257100149;0.008968609865470852;0.004484304932735426;0.016442451420029897;0.01046337817638266;0.9088191330343797;0.08436724565756823;0.0137221269296741;0.005555555555555555;0.02487883683360259;0.016891212547757894;0.7374376609755923
0.1;1.999561071395874;156;500;0.2824444826007324;0.2166666666666664;0.20661161150732918;0.2564102564102564;0.02564102564102564;0.00641025641025641;0.0641025641025641;0.07692307692307693;0.5705128205128205;0.059790732436472344;0.008968609865470852;0.004484304932735426;0.026905829596412557;0.02242152466367713;0.8774289985052317;0.09696969696969696;0.013289036544850499;0.005277044854881266;0.03790271636133923;0.034722222222222224;0.6914428275528908
0.15000000000000002;2.342661142349243;178;500;0.29479166666666634;0.23124999999999968;0.220933633818808;0.2808988764044944;0.033707865168539325;0.0056179775280898875;0.06741573033707865;0.06741573033707865;0.5449438202247191;0.07473841554559044;0.01195814648729447;0.004484304932735426;0.028400597907324365;0.02092675635276532;0.85949177877429;0.11806375442739078;0.017653549098933432;0.004987531172069826;0.039964943032427695;0.03193916349809886;0.6669935363512972
0.2;2.6229348182678223;137;500;0.25318700396825383;0.2197916666666664;0.19391124202638677;0.25547445255474455;0.043795620437956206;0.0072992700729927005;0.0948905109489051;0.08759124087591241;0.5109489051094891;0.052316890881913304;0.013452914798206279;0.004484304932735426;0.03288490284005979;0.02391629297458894;0.8729446935724963;0.08684863523573201;0.02058319039451115;0.005555555555555555;0.048842968149602935;0.037573385518591;0.6446017754931488
0.25;3.04443621635437;97;500;0.20822668650793655;0.20624999999999977;0.16959798470090098;0.12371134020618557;0.07216494845360824;0.020618556701030927;0.13402061855670103;0.12371134020618557;0.5257731958762887;0.017937219730941704;0.016442451420029897;0.005979073243647235;0.03736920777279522;0.025411061285500747;0.8968609865470852;0.03133159268929504;0.026782608695652178;0.009269988412514482;0.058442726128394185;0.04216182701250387;0.6629187924479252
0.30000000000000004;3.3058669567108154;85;500;0.21339533730158738;0.2145833333333331;0.17343272345751476;0.1411764705882353;0.08235294117647059;0.023529411764705882;0.09411764705882353;0.15294117647058825;0.5058823529411764;0.017937219730941704;0.017937219730941704;0.005979073243647235;0.03288490284005979;0.029895366218236172;0.8953662182361734;0.03183023872679045;0.029458179905312992;0.009535160905840286;0.0487399612295763;0.05001442723862652;0.6464948168971663
0.35000000000000003;3.668855905532837;84;500;0.2063450915404041;0.21041666666666647;0.16736796881931965;0.14285714285714285;0.11904761904761904;0.03571428571428571;0.047619047619047616;0.13095238095238096;0.5238095238095238;0.017937219730941704;0.02391629297458894;0.008968609865470852;0.02391629297458894;0.026905829596412557;0.898355754857997;0.03187250996015936;0.039830719442369926;0.014336917562724014;0.031840796019900496;0.044639837673317556;0.6617617617617618
0.4;4.3584818840026855;86;500;0.20741329170557118;0.20624999999999982;0.166410621639546;0.1511627906976744;0.12790697674418605;0.03488372093023256;0.046511627906976744;0.08139534883720931;0.5581395348837209;0.01943198804185351;0.025411061285500747;0.008968609865470852;0.02391629297458894;0.016442451420029897;0.905829596412556;0.03443708609271523;0.042398820995352;0.014268727705112961;0.0315893385982231;0.027358322970332208;0.6906966804388088
0.45;5.067875862121582;85;500;0.20495475891712356;0.21979166666666644;0.1704287577957747;0.1411764705882353;0.15294117647058825;0.07058823529411765;0.07058823529411765;0.10588235294117647;0.4588235294117647;0.017937219730941704;0.028400597907324365;0.013452914798206279;0.026905829596412557;0.017937219730941704;0.8953662182361734;0.03183023872679045;0.047905352986811485;0.02259887005649718;0.03896103896103897;0.03067746058798466;0.6067319429654832
